relative_path,extension,category,label,note
.codebuddy/plans/MEIRP供应链论文代码_-_详细讨论结果_438fa3d4.md,.md,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
.codebuddy/plans/MEIRP供应链论文代码规划_392c616a(未完成).md,.md,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
.codebuddy/plans/MEIRP供应链论文代码规划v2_2522da9d(未完成).md,.md,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
.idea/.gitignore,,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
.idea/codeStyles/codeStyleConfig.xml,.xml,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
.idea/inspectionProfiles/profiles_settings.xml,.xml,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
.idea/MarsCodeWorkspaceAppSettings.xml,.xml,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
.idea/MaSCL.iml,.iml,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
.idea/misc.xml,.xml,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
.idea/modules.xml,.xml,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
.idea/other.xml,.xml,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
.idea/vcs.xml,.xml,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
.idea/workspace.xml,.xml,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
.pytest_cache/.gitignore,,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
.pytest_cache/CACHEDIR.TAG,.tag,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
.pytest_cache/README.md,.md,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
.pytest_cache/v/cache/lastfailed,,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
.pytest_cache/v/cache/nodeids,,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
.workbuddy/expert-history.json,.json,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
.workbuddy/memory/2026-04-27.md,.md,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
.workbuddy/memory/MEMORY.md,.md,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
__pycache__/base_runner.cpython-39.pyc,.pyc,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
__pycache__/config_human.cpython-39.pyc,.pyc,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
__pycache__/LLM_Agent.cpython-39.pyc,.pyc,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
__pycache__/runner_human.cpython-39.pyc,.pyc,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
algorithms/__init__.py,.py,C,legacy_algorithms,Legacy RL/env utility code; not needed for requested IRP baselines
algorithms/__pycache__/__init__.cpython-39.pyc,.pyc,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
algorithms/__pycache__/actor_critic.cpython-39.pyc,.pyc,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
algorithms/__pycache__/happo_policy.cpython-39.pyc,.pyc,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
algorithms/__pycache__/happo_trainer.cpython-39.pyc,.pyc,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
algorithms/actor_critic.py,.py,C,legacy_algorithms,Legacy RL/env utility code; not needed for requested IRP baselines
algorithms/happo_policy.py,.py,C,legacy_algorithms,Legacy RL/env utility code; not needed for requested IRP baselines
algorithms/happo_trainer.py,.py,C,legacy_algorithms,Legacy RL/env utility code; not needed for requested IRP baselines
algorithms/utils/__pycache__/act.cpython-39.pyc,.pyc,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
algorithms/utils/__pycache__/cnn.cpython-39.pyc,.pyc,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
algorithms/utils/__pycache__/distributions.cpython-39.pyc,.pyc,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
algorithms/utils/__pycache__/mlp.cpython-39.pyc,.pyc,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
algorithms/utils/__pycache__/rnn.cpython-39.pyc,.pyc,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
algorithms/utils/__pycache__/util.cpython-39.pyc,.pyc,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
algorithms/utils/act.py,.py,C,legacy_algorithms,Legacy RL/env utility code; not needed for requested IRP baselines
algorithms/utils/cnn.py,.py,C,legacy_algorithms,Legacy RL/env utility code; not needed for requested IRP baselines
algorithms/utils/distributions.py,.py,C,legacy_algorithms,Legacy RL/env utility code; not needed for requested IRP baselines
algorithms/utils/mlp.py,.py,C,legacy_algorithms,Legacy RL/env utility code; not needed for requested IRP baselines
algorithms/utils/rnn.py,.py,C,legacy_algorithms,Legacy RL/env utility code; not needed for requested IRP baselines
algorithms/utils/util.py,.py,C,legacy_algorithms,Legacy RL/env utility code; not needed for requested IRP baselines
alns_implementation/__pycache__/alns2.cpython-39.pyc,.pyc,D,tooling_cache_metadata,IDE/cache/tool metadata; no MEIRP algorithm value
alns_implementation/alns2.py,.py,A,alns_inventory_metaheuristic,Rolling-window ALNS over order decisions; adapt to current env/routing
alns_implementation/alns3.py,.py,A,cp_sat_exact_irp,Rolling-horizon OR-Tools CP-SAT with routing arcs; strongest exact IRP reference
alns_implementation/rolling_window_alns.py,.py,B,alns_early_version,Earlier ALNS; superseded by alns2 but useful for operator comparison
alns_implementation/visualizations/network_visualization.png,.png,D,generated_or_data_artifact,Generated output/data/checkpoint; not algorithm source
