algorithm,cost_scope,transport_weight,avg_inventory_cost_per_step,avg_routing_cost_per_step,avg_weighted_total_cost_per_step,avg_cost_per_step,avg_fill_rate,avg_stockout_rate,avg_bullwhip_cv,avg_requested_bullwhip_cv,avg_shipped_bullwhip_cv,max_bullwhip_cv,max_requested_bullwhip_cv,avg_order_mean,avg_order_std,avg_order_var,avg_demand_mean,avg_demand_std,avg_demand_var,avg_requested_demand_mean,avg_requested_demand_std,avg_requested_demand_var,avg_shipped_demand_mean,avg_shipped_demand_std,avg_shipped_demand_var,avg_fulfilled_demand_mean,avg_fulfilled_demand_std,avg_fulfilled_demand_var,min_demand_var,min_requested_demand_var,max_order_var,avg_transport_per_step,avg_route_distance_per_step,routing_feasible_rate,runtime_sec,layer_0_fill_rate,layer_0_holding,layer_0_backlog,layer_0_cost_per_step,layer_1_fill_rate,layer_1_holding,layer_1_backlog,layer_1_cost_per_step,layer_2_fill_rate,layer_2_holding,layer_2_backlog,layer_2_cost_per_step
BaseStock,inventory_only,0.0,677.3666666666667,0.0,677.3666666666667,677.3666666666667,0.4353623188405797,0.5646376811594203,7.719212649409438,7.48480372360109,7.719212649409438,25.057664233576645,25.057664233576645,9.925925925925924,9.59185819956011,96.70543209876544,6.959259259259259,6.1232897102427675,47.524567901234576,12.777777777777777,8.24443291615112,101.71456790123457,6.959259259259259,6.1232897102427675,47.524567901234576,6.025925925925926,5.562960610246105,32.62777777777777,6.088888888888889,6.088888888888889,164.35666666666665,0.0,0.0,1.0,,0.46808510638297873,2081.0,528.0,86.96666666666667,0.2755729457797652,3184.5,913.5,136.6,0.6989032901296112,2160.0,11454.0,
"(s,S)",inventory_only,0.0,745.6333333333333,0.0,745.6333333333333,745.6333333333333,0.3847245883021011,0.6152754116978989,8.962546189994315,8.739611734456444,8.962546189994315,27.667153284671542,27.667153284671542,10.174074074074074,10.630991522780008,116.23716049382716,6.77037037037037,6.677505688761633,57.35802469135803,13.044444444444444,8.963583239512467,120.14740740740743,6.77037037037037,6.677505688761633,57.35802469135803,5.7555555555555555,6.563047777649617,43.96098765432099,6.088888888888889,6.088888888888889,169.69333333333324,0.0,0.0,1.0,,0.3929121725731895,2162.0,558.0,90.66666666666667,0.25668449197860965,3262.5,1228.5,149.7,0.6181455633100698,2144.0,13014.0,
BaseStock+Savings,inventory_plus_routing,1.0,677.3666666666667,53.23105625617661,730.5977229228432,730.5977229228432,0.4353623188405797,0.5646376811594203,7.719212649409438,7.48480372360109,7.719212649409438,25.057664233576645,25.057664233576645,9.925925925925924,9.59185819956011,96.70543209876544,6.959259259259259,6.1232897102427675,47.524567901234576,12.777777777777777,8.24443291615112,101.71456790123457,6.959259259259259,6.1232897102427675,47.524567901234576,6.025925925925926,5.562960610246105,32.62777777777777,6.088888888888889,6.088888888888889,164.35666666666665,53.23105625617661,53.23105625617661,1.0,,0.46808510638297873,2081.0,528.0,106.21035208539222,0.2755729457797652,3184.5,913.5,170.5873708374511,0.6989032901296112,2160.0,11454.0,
"(s,S)+Savings",inventory_plus_routing,1.0,745.6333333333333,44.73358208868638,790.3669154220198,790.3669154220198,0.3847245883021011,0.6152754116978989,8.962546189994315,8.739611734456444,8.962546189994315,27.667153284671542,27.667153284671542,10.174074074074074,10.630991522780008,116.23716049382716,6.77037037037037,6.677505688761633,57.35802469135803,13.044444444444444,8.963583239512467,120.14740740740743,6.77037037037037,6.677505688761633,57.35802469135803,5.7555555555555555,6.563047777649617,43.96098765432099,6.088888888888889,6.088888888888889,169.69333333333324,44.73358208868638,44.73358208868638,1.0,,0.3929121725731895,2162.0,558.0,106.82828166831376,0.25668449197860965,3262.5,1228.5,178.2719670870393,0.6181455633100698,2144.0,13014.0,
BaseStock+Savings2Opt,inventory_plus_routing,1.0,677.3666666666667,53.23105625617661,730.5977229228432,730.5977229228432,0.4353623188405797,0.5646376811594203,7.719212649409438,7.48480372360109,7.719212649409438,25.057664233576645,25.057664233576645,9.925925925925924,9.59185819956011,96.70543209876544,6.959259259259259,6.1232897102427675,47.524567901234576,12.777777777777777,8.24443291615112,101.71456790123457,6.959259259259259,6.1232897102427675,47.524567901234576,6.025925925925926,5.562960610246105,32.62777777777777,6.088888888888889,6.088888888888889,164.35666666666665,53.23105625617661,53.23105625617661,1.0,,0.46808510638297873,2081.0,528.0,106.21035208539222,0.2755729457797652,3184.5,913.5,170.5873708374511,0.6989032901296112,2160.0,11454.0,
"(s,S)+Savings2Opt",inventory_plus_routing,1.0,745.6333333333333,44.73358208868638,790.3669154220198,790.3669154220198,0.3847245883021011,0.6152754116978989,8.962546189994315,8.739611734456444,8.962546189994315,27.667153284671542,27.667153284671542,10.174074074074074,10.630991522780008,116.23716049382716,6.77037037037037,6.677505688761633,57.35802469135803,13.044444444444444,8.963583239512467,120.14740740740743,6.77037037037037,6.677505688761633,57.35802469135803,5.7555555555555555,6.563047777649617,43.96098765432099,6.088888888888889,6.088888888888889,169.69333333333324,44.73358208868638,44.73358208868638,1.0,,0.3929121725731895,2162.0,558.0,106.82828166831376,0.25668449197860965,3262.5,1228.5,178.2719670870393,0.6181455633100698,2144.0,13014.0,
BaseStock+NearestInsertion,inventory_plus_routing,1.0,677.3666666666667,53.23105625617661,730.5977229228432,730.5977229228432,0.4353623188405797,0.5646376811594203,7.719212649409438,7.48480372360109,7.719212649409438,25.057664233576645,25.057664233576645,9.925925925925924,9.59185819956011,96.70543209876544,6.959259259259259,6.1232897102427675,47.524567901234576,12.777777777777777,8.24443291615112,101.71456790123457,6.959259259259259,6.1232897102427675,47.524567901234576,6.025925925925926,5.562960610246105,32.62777777777777,6.088888888888889,6.088888888888889,164.35666666666665,53.23105625617661,53.23105625617661,1.0,,0.46808510638297873,2081.0,528.0,106.21035208539222,0.2755729457797652,3184.5,913.5,170.5873708374511,0.6989032901296112,2160.0,11454.0,
"(s,S)+NearestInsertion",inventory_plus_routing,1.0,745.6333333333333,44.73358208868638,790.3669154220198,790.3669154220198,0.3847245883021011,0.6152754116978989,8.962546189994315,8.739611734456444,8.962546189994315,27.667153284671542,27.667153284671542,10.174074074074074,10.630991522780008,116.23716049382716,6.77037037037037,6.677505688761633,57.35802469135803,13.044444444444444,8.963583239512467,120.14740740740743,6.77037037037037,6.677505688761633,57.35802469135803,5.7555555555555555,6.563047777649617,43.96098765432099,6.088888888888889,6.088888888888889,169.69333333333324,44.73358208868638,44.73358208868638,1.0,,0.3929121725731895,2162.0,558.0,106.82828166831376,0.25668449197860965,3262.5,1228.5,178.2719670870393,0.6181455633100698,2144.0,13014.0,
BaseStock+GARouting,inventory_plus_routing,1.0,677.3666666666667,53.23105625617661,730.5977229228432,730.5977229228432,0.4353623188405797,0.5646376811594203,7.719212649409438,7.48480372360109,7.719212649409438,25.057664233576645,25.057664233576645,9.925925925925924,9.59185819956011,96.70543209876544,6.959259259259259,6.1232897102427675,47.524567901234576,12.777777777777777,8.24443291615112,101.71456790123457,6.959259259259259,6.1232897102427675,47.524567901234576,6.025925925925926,5.562960610246105,32.62777777777777,6.088888888888889,6.088888888888889,164.35666666666665,53.23105625617661,53.23105625617661,1.0,,0.46808510638297873,2081.0,528.0,106.21035208539222,0.2755729457797652,3184.5,913.5,170.5873708374511,0.6989032901296112,2160.0,11454.0,
"(s,S)+GARouting",inventory_plus_routing,1.0,745.6333333333333,44.73358208868638,790.3669154220198,790.3669154220198,0.3847245883021011,0.6152754116978989,8.962546189994315,8.739611734456444,8.962546189994315,27.667153284671542,27.667153284671542,10.174074074074074,10.630991522780008,116.23716049382716,6.77037037037037,6.677505688761633,57.35802469135803,13.044444444444444,8.963583239512467,120.14740740740743,6.77037037037037,6.677505688761633,57.35802469135803,5.7555555555555555,6.563047777649617,43.96098765432099,6.088888888888889,6.088888888888889,169.69333333333324,44.73358208868638,44.73358208868638,1.0,,0.3929121725731895,2162.0,558.0,106.82828166831376,0.25668449197860965,3262.5,1228.5,178.2719670870393,0.6181455633100698,2144.0,13014.0,
GAInventory+Savings,inventory_plus_routing,1.0,542.25,105.68386193845863,647.9338619384586,647.9338619384586,0.9237581825182903,0.07624181748170966,2.848578023896992,2.932386356512611,2.848578023896992,6.229197080291971,6.229197080291971,9.137037037037038,7.60352979340244,59.69888888888889,9.351851851851853,6.039916200246832,48.61469135802469,9.618518518518519,6.017036823817002,49.242098765432104,9.351851851851853,6.039916200246832,48.61469135802469,9.351851851851853,6.299158126489309,50.081358024691355,6.088888888888889,6.088888888888889,89.79555555555557,105.68386193845863,105.68386193845863,1.0,,1.0,6847.0,0.0,273.56555922250743,0.8936915887850467,5205.0,31.5,234.90163604928452,0.8933200398803589,2990.0,1194.0,
GAInventory+Savings2Opt,inventory_plus_routing,1.0,542.25,105.68386193845863,647.9338619384586,647.9338619384586,0.9237581825182903,0.07624181748170966,2.848578023896992,2.932386356512611,2.848578023896992,6.229197080291971,6.229197080291971,9.137037037037038,7.60352979340244,59.69888888888889,9.351851851851853,6.039916200246832,48.61469135802469,9.618518518518519,6.017036823817002,49.242098765432104,9.351851851851853,6.039916200246832,48.61469135802469,9.351851851851853,6.299158126489309,50.081358024691355,6.088888888888889,6.088888888888889,89.79555555555557,105.68386193845863,105.68386193845863,1.0,,1.0,6847.0,0.0,273.56555922250743,0.8936915887850467,5205.0,31.5,234.90163604928452,0.8933200398803589,2990.0,1194.0,
ALNSInventory+Savings,inventory_plus_routing,1.0,616.1833333333333,109.80444173156647,725.9877750648998,725.9877750648998,0.9756875249103228,0.024312475089677155,3.7342387442548923,3.7992279846977492,3.7342387442548923,8.761682242990654,8.974583698510077,8.8,7.404039020848198,71.66197530864197,9.270370370370369,4.080322532161813,20.166296296296295,9.292592592592591,4.059894384500008,19.990493827160492,9.270370370370369,4.080322532161813,20.166296296296295,9.25925925925926,3.974224939355867,19.602962962962962,6.088888888888889,6.088888888888889,209.0,109.80444173156647,109.80444173156647,1.0,,1.0,7656.0,0.0,296.59377870198296,0.989821882951654,6253.5,0.0,276.8606630295835,0.9471585244267199,3700.0,876.0,
ALNSInventory+Savings2Opt,inventory_plus_routing,1.0,616.1833333333333,109.80444173156647,725.9877750648998,725.9877750648998,0.9756875249103228,0.024312475089677155,3.7342387442548923,3.7992279846977492,3.7342387442548923,8.761682242990654,8.974583698510077,8.8,7.404039020848198,71.66197530864197,9.270370370370369,4.080322532161813,20.166296296296295,9.292592592592591,4.059894384500008,19.990493827160492,9.270370370370369,4.080322532161813,20.166296296296295,9.25925925925926,3.974224939355867,19.602962962962962,6.088888888888889,6.088888888888889,209.0,109.80444173156647,109.80444173156647,1.0,,1.0,7656.0,0.0,296.59377870198296,0.989821882951654,6253.5,0.0,276.8606630295835,0.9471585244267199,3700.0,876.0,
ALNS-IRP,inventory_plus_routing,1.0,580.6333333333333,99.64282672991938,680.2761600632527,680.2761600632527,0.9537325038880249,0.046267496111975115,2.5829568900362863,2.5601438207687632,2.5829568900362863,5.186755463840165,5.496073948911642,9.144444444444446,7.439212824223958,69.86703703703705,9.374074074074073,4.767614592071494,29.15444444444445,9.525925925925925,4.840800805303399,30.041481481481487,9.374074074074073,4.767614592071494,29.15444444444445,9.362962962962962,4.6841280809648715,28.687407407407413,6.088888888888889,6.088888888888889,189.0,99.64282672991938,99.64282672991938,1.0,,1.0,6894.0,0.0,266.2168221387623,0.9459783913565426,6159.0,0.0,268.52600459115706,0.9262213359920239,3256.0,1110.0,
MAPPO,inventory_only,0.0,435.03443818273234,0.0,435.03443818273234,435.03443818273234,0.9693805369953178,0.030619463004682212,1.5465742249072116,1.5981238760625263,1.5465742249072116,3.5502008032128503,3.5502008032128503,8.322222222222223,3.831272178363744,17.971728395061728,9.480032857483838,4.1493280543792865,18.8496211165161,9.61111111111111,4.077976689995634,18.18797128596181,9.480032857483838,4.1493280543792865,18.8496211165161,9.480032857483838,4.106262181657169,18.481940476588576,6.088888888888889,6.088888888888889,35.489999999999995,0.0,0.0,1.0,,0.9758774931524137,3653.84,2.5199999999999996,121.87866666666667,0.9453744207010302,4228.108597285068,4.70454545454546,141.09377142465377,0.9854962057472175,4965.597970656794,196.26203208556126,
