algorithm,episode,rl_mean_action,rl_std_action,rl_zero_action_rate,rl_max_action_rate,rl_invalid_action_count,exec_mean_action,exec_std_action,exec_zero_action_rate,exec_max_action_rate,exec_invalid_action_count,env_mean_order_qty,env_std_order_qty,env_zero_order_rate,env_max_order_rate,rl_per_node_mean_action,rl_per_node_std_action,rl_per_layer_mean_action,exec_per_node_mean_action,exec_per_node_std_action,exec_per_layer_mean_action,env_per_node_mean_order_qty,env_per_node_std_order_qty,env_per_layer_mean_order_qty
MAPPO,1,16.07037037037037,8.430030746168384,0.023529411764705882,0.041176470588235294,0,16.07037037037037,8.430030746168384,0.023529411764705882,0.041176470588235294,0,16.07037037037037,8.430030746168384,0.022222222222222223,0.02962962962962963,15;15.3333;16.1333;15.1;18.3;18.9667;15.7;15.7333;14.3667,8.47349;9.37491;8.67461;8.03057;7.98812;8.13012;8.21442;8.67154;6.95933,15.1667;16.5111;16.1917,15;15.3333;16.1333;15.1;18.3;18.9667;15.7;15.7333;14.3667,8.47349;9.37491;8.67461;8.03057;7.98812;8.13012;8.21442;8.67154;6.95933,15.1667;16.5111;16.1917,15;15.3333;16.1333;15.1;18.3;18.9667;15.7;15.7333;14.3667,8.47349;9.37491;8.67461;8.03057;7.98812;8.13012;8.21442;8.67154;6.95933,15.1667;16.5111;16.1917
MAPPO,2,14.87037037037037,8.738688553816504,0.03725490196078431,0.03137254901960784,0,14.87037037037037,8.738688553816504,0.03725490196078431,0.03137254901960784,0,14.87037037037037,8.738688553816504,0.03333333333333333,0.037037037037037035,15.3333;15.2667;12.2333;16.3667;14.0333;14;14.6667;17.5333;14.4,10.2999;7.49192;7.03175;8.89001;8.13422;8.47742;8.81035;9.63581;8.34905,15.3;14.2111;15.15,15.3333;15.2667;12.2333;16.3667;14.0333;14;14.6667;17.5333;14.4,10.2999;7.49192;7.03175;8.89001;8.13422;8.47742;8.81035;9.63581;8.34905,15.3;14.2111;15.15,15.3333;15.2667;12.2333;16.3667;14.0333;14;14.6667;17.5333;14.4,10.2999;7.49192;7.03175;8.89001;8.13422;8.47742;8.81035;9.63581;8.34905,15.3;14.2111;15.15
MAPPO,3,14.914814814814815,9.056415925196395,0.023529411764705882,0.029411764705882353,0,14.914814814814815,9.056415925196395,0.023529411764705882,0.029411764705882353,0,14.914814814814815,9.056415925196395,0.018518518518518517,0.037037037037037035,14.4;14.4;14.8;15.5;14.8333;14.7667;14.6;17.5333;13.4,8.45616;10.0053;8.85212;9.81411;7.75063;9.73544;8.42852;8.24513;9.3723,14.4;15.0444;15.075,14.4;14.4;14.8;15.5;14.8333;14.7667;14.6;17.5333;13.4,8.45616;10.0053;8.85212;9.81411;7.75063;9.73544;8.42852;8.24513;9.3723,14.4;15.0444;15.075,14.4;14.4;14.8;15.5;14.8333;14.7667;14.6;17.5333;13.4,8.45616;10.0053;8.85212;9.81411;7.75063;9.73544;8.42852;8.24513;9.3723,14.4;15.0444;15.075
MAPPO,4,15.685185185185185,9.191026368499177,0.03529411764705882,0.045098039215686274,0,15.685185185185185,9.191026368499177,0.03529411764705882,0.045098039215686274,0,15.685185185185185,9.191026368499177,0.040740740740740744,0.05555555555555555,13.4333;13.7;17.7;17.5333;14.6333;16.0333;13.5667;16.2;18.3667,9.68395;8.71837;9.10732;7.43744;9.77235;8.94235;10.1446;8.86717;8.09726,13.5667;16.6222;16.0417,13.4333;13.7;17.7;17.5333;14.6333;16.0333;13.5667;16.2;18.3667,9.68395;8.71837;9.10732;7.43744;9.77235;8.94235;10.1446;8.86717;8.09726,13.5667;16.6222;16.0417,13.4333;13.7;17.7;17.5333;14.6333;16.0333;13.5667;16.2;18.3667,9.68395;8.71837;9.10732;7.43744;9.77235;8.94235;10.1446;8.86717;8.09726,13.5667;16.6222;16.0417
MAPPO,5,14.485185185185186,8.924672572215856,0.027450980392156862,0.021568627450980392,0,14.485185185185186,8.924672572215856,0.027450980392156862,0.021568627450980392,0,14.485185185185186,8.924672572215856,0.03333333333333333,0.022222222222222223,15.6667;15.0333;15.6;13.0333;14.2;13.6333;14.5333;15.2667;13.4,9.42102;8.13012;8.01083;8.10137;8.59612;8.68133;9.5594;10.9725;7.96911,15.35;14.2778;14.2083,15.6667;15.0333;15.6;13.0333;14.2;13.6333;14.5333;15.2667;13.4,9.42102;8.13012;8.01083;8.10137;8.59612;8.68133;9.5594;10.9725;7.96911,15.35;14.2778;14.2083,15.6667;15.0333;15.6;13.0333;14.2;13.6333;14.5333;15.2667;13.4,9.42102;8.13012;8.01083;8.10137;8.59612;8.68133;9.5594;10.9725;7.96911,15.35;14.2778;14.2083
MAPPO,6,15.751851851851852,8.872006344150387,0.029411764705882353,0.0392156862745098,0,15.751851851851852,8.872006344150387,0.029411764705882353,0.0392156862745098,0,15.751851851851852,8.872006344150387,0.025925925925925925,0.05185185185185185,16.8667;16.7333;14.8333;13.5333;18.4667;14.8;16.5667;15.9333;14.0333,9.70132;9.09921;8.92593;9.17872;7.82191;8.83704;7.70577;9.26978;7.94348,16.8;15.6111;15.3333,16.8667;16.7333;14.8333;13.5333;18.4667;14.8;16.5667;15.9333;14.0333,9.70132;9.09921;8.92593;9.17872;7.82191;8.83704;7.70577;9.26978;7.94348,16.8;15.6111;15.3333,16.8667;16.7333;14.8333;13.5333;18.4667;14.8;16.5667;15.9333;14.0333,9.70132;9.09921;8.92593;9.17872;7.82191;8.83704;7.70577;9.26978;7.94348,16.8;15.6111;15.3333
MAPPO,7,15.544444444444444,9.256622587552927,0.03333333333333333,0.043137254901960784,0,15.544444444444444,9.256622587552927,0.03333333333333333,0.043137254901960784,0,15.544444444444444,9.256622587552927,0.025925925925925925,0.044444444444444446,14.5333;16.0333;17.3667;13.8667;17.0333;15.6333;15.5;15.6;14.3333,9.17145;9.63495;9.1122;10.0656;7.94348;7.87605;9.3086;9.82378;9.51256,15.2833;16.0889;15.2667,14.5333;16.0333;17.3667;13.8667;17.0333;15.6333;15.5;15.6;14.3333,9.17145;9.63495;9.1122;10.0656;7.94348;7.87605;9.3086;9.82378;9.51256,15.2833;16.0889;15.2667,14.5333;16.0333;17.3667;13.8667;17.0333;15.6333;15.5;15.6;14.3333,9.17145;9.63495;9.1122;10.0656;7.94348;7.87605;9.3086;9.82378;9.51256,15.2833;16.0889;15.2667
MAPPO,8,13.751851851851852,9.230459655918205,0.045098039215686274,0.025490196078431372,0,13.751851851851852,9.230459655918205,0.045098039215686274,0.025490196078431372,0,13.751851851851852,9.230459655918205,0.040740740740740744,0.018518518518518517,15.4333;13.6667;14.7;15.1667;13.2;13.7667;12.2;13.7667;11.8667,7.8769;10.2383;9.11464;10.3185;9.64158;9.49275;7.90105;9.0321;8.44485,14.55;14.3556;12.9,15.4333;13.6667;14.7;15.1667;13.2;13.7667;12.2;13.7667;11.8667,7.8769;10.2383;9.11464;10.3185;9.64158;9.49275;7.90105;9.0321;8.44485,14.55;14.3556;12.9,15.4333;13.6667;14.7;15.1667;13.2;13.7667;12.2;13.7667;11.8667,7.8769;10.2383;9.11464;10.3185;9.64158;9.49275;7.90105;9.0321;8.44485,14.55;14.3556;12.9
MAPPO,9,14.544444444444444,8.910868658380819,0.03333333333333333,0.025490196078431372,0,14.544444444444444,8.910868658380819,0.03333333333333333,0.025490196078431372,0,14.544444444444444,8.910868658380819,0.03333333333333333,0.02962962962962963,17.3333;12.1667;11.3;14.2333;15.7333;13.1667;14.8;15.6333;16.5333,7.83298;8.39477;8.50549;9.35836;7.91595;9.11805;9.6554;9.23935;8.11884,14.75;13.7556;15.0333,17.3333;12.1667;11.3;14.2333;15.7333;13.1667;14.8;15.6333;16.5333,7.83298;8.39477;8.50549;9.35836;7.91595;9.11805;9.6554;9.23935;8.11884,14.75;13.7556;15.0333,17.3333;12.1667;11.3;14.2333;15.7333;13.1667;14.8;15.6333;16.5333,7.83298;8.39477;8.50549;9.35836;7.91595;9.11805;9.6554;9.23935;8.11884,14.75;13.7556;15.0333
MAPPO,10,13.381481481481481,9.020903175486861,0.03725490196078431,0.023529411764705882,0,13.381481481481481,9.020903175486861,0.03725490196078431,0.023529411764705882,0,13.381481481481481,9.020903175486861,0.044444444444444446,0.018518518518518517,11.3333;10.6;13.4333;13.1;16;11.2333;14.5333;15.4;14.8,8.9306;8.69329;8.69361;9.89731;9;8.73187;7.82617;9.03917;8.51039,10.9667;14.1778;13.9917,11.3333;10.6;13.4333;13.1;16;11.2333;14.5333;15.4;14.8,8.9306;8.69329;8.69361;9.89731;9;8.73187;7.82617;9.03917;8.51039,10.9667;14.1778;13.9917,11.3333;10.6;13.4333;13.1;16;11.2333;14.5333;15.4;14.8,8.9306;8.69329;8.69361;9.89731;9;8.73187;7.82617;9.03917;8.51039,10.9667;14.1778;13.9917
