algorithm,episode,global_step,episode_reward_sum,episode_reward_mean_per_step,episode_length,update_count,epsilon,buffer_size,loss,policy_loss,value_loss,entropy,avg_cost_per_step,avg_weighted_total_cost_per_step,avg_inventory_cost_per_step,avg_routing_cost_per_step,transport_weight,total_inventory_cost,total_transport,routing_cost,avg_transport_per_step,avg_route_distance_per_step,routing_feasible_rate,avg_fill_rate,avg_stockout_rate,avg_bullwhip_cv,total_holding,total_backlog,avg_pipeline,layer_0_backlog,layer_0_cost_per_step,layer_0_fill_rate,layer_0_holding,layer_1_backlog,layer_1_cost_per_step,layer_1_fill_rate,layer_1_holding,layer_2_backlog,layer_2_cost_per_step,layer_2_fill_rate,layer_2_holding,q_next_mean,q_reg,q_tot_mean,reward_mean,reward_std,target_clip_high,target_clip_low,target_mean,target_raw_mean,target_raw_std,target_std,td_loss,weighted_total_cost
MAPPO,1,30,-211.29947318099363,-7.0433157726997875,30,1,,0,,-0.05904418900609017,81.59136123657227,6.381561945102833,2971.6910303925806,2971.6910303925806,2971.6910303925806,0.0,0.0,89150.73091177741,0.0,0.0,0.0,0.0,1.0,0.6734055718506821,0.32659442814931794,5.288350477713615,23272.67848792344,65878.05242385397,10.904442236061447,18995.655028507295,696.2513346003242,0.6473701588571155,1891.8850095024318,46882.39739534668,1582.3593884770064,0.53413830486717,588.384258963514,0.0,693.0803073152497,1.0,20792.40921945749,,,,,,,,,,,,,89150.73091177741
MAPPO,2,60,-191.23558140051702,-6.374519380017234,30,1,,0,,-0.06263825421531995,35.412898508707684,6.276933064284147,2735.538381349438,2735.538381349438,2735.538381349438,0.0,0.0,82066.15144048314,0.0,0.0,0.0,0.0,1.0,0.71690063992261,0.28309936007739,4.698963087844387,21248.203113703505,60817.94832677964,10.745755428504093,13666.087482800256,520.814999235567,0.7247883204298092,1958.3624942667536,46627.764454118806,1635.6441352157685,0.5732566577374549,2441.5596023542553,524.0963898605777,579.0792468981025,0.9712637769478419,16848.2810170825,,,,,,,,,,,,,82066.15144048314
MAPPO,3,90,-173.8881722458066,-5.796272408193554,30,1,,0,,-0.03648487751682599,20.515163516998292,6.223078692400896,2402.6045602285585,2402.6045602285585,2402.6045602285585,0.0,0.0,72078.13680685675,0.0,0.0,0.0,0.0,1.0,0.6934069546914553,0.3065930453085447,5.142185570724452,22004.185216451187,50073.951590405566,10.556761311870348,15958.852394664056,547.3823286517359,0.6799272038992765,462.6174648880187,33077.59646353286,1136.9249510856605,0.5630796249041888,1030.1520690369562,1037.5027322086512,718.2972804911622,0.9630605875553354,20511.415682526214,,,,,,,,,,,,,72078.13680685675
MAPPO,4,120,-239.75661012582822,-7.991887004194274,30,1,,0,,-0.03412174507975578,34.0967352549235,6.08974338637458,3357.48828691849,3357.48828691849,3357.48828691849,0.0,0.0,100724.6486075547,0.0,0.0,0.0,0.0,1.0,0.620043624681944,0.37995637531805604,5.433585040869906,19477.242470275927,81247.40613727877,9.610240690098093,25687.054611662308,868.1135382961025,0.5592762503970952,356.35153722076956,55560.351525616476,1865.8296785630819,0.4797576170860896,414.53883127598345,0.0,623.5450700593059,1.0,18706.352101779175,,,,,,,,,,,,,100724.6486075547
MAPPO,5,150,-189.2907521113448,-6.309691737044827,30,1,,0,,-0.07713590562343597,25.37064355214437,6.239667952502215,2674.1926401999,2674.1926401999,2674.1926401999,0.0,0.0,80225.779205997,0.0,0.0,0.0,0.0,1.0,0.6793540505396919,0.3206459494603081,6.403454296948301,21874.577625484202,58351.201580512796,10.014217943291495,15075.026520108013,593.1011786714672,0.6519465130877832,2718.0088400360023,43276.175060404785,1462.5058002145006,0.5316945554421711,598.9989460302312,0.0,618.5856613139323,1.0,18557.569839417967,,,,,,,,,,,,,80225.779205997
MAPPO,6,180,-199.18625929054667,-6.6395419763515555,30,1,,0,,-0.0291311743358771,23.56259667078654,6.102446418338352,2810.8719477222485,2810.8719477222485,2810.8719477222485,0.0,0.0,84326.15843166746,0.0,0.0,0.0,0.0,1.0,0.6855169209100085,0.3144830790899915,5.092362092061047,23018.18765798115,61307.9707736863,10.95363667170634,20204.575005836094,762.6477780371596,0.6562566915673266,2674.858335278697,41103.395767850205,1401.04223408017,0.5451488398952236,927.8712545548892,0.0,647.1819356049186,1.0,19415.45806814756,,,,,,,,,,,,,84326.15843166746
MAPPO,7,210,-196.56480532502445,-6.552160177500815,30,1,,0,,-0.08354096536835035,18.308956591288247,6.346178568734063,2746.554225096712,2746.554225096712,2746.554225096712,0.0,0.0,82396.62675290136,0.0,0.0,0.0,0.0,1.0,0.6755561796605956,0.32444382033940444,4.483877682437109,21413.546725979337,60983.08002692201,10.564742299491197,22333.930667187655,781.7858074305624,0.6364667865412637,1119.6435557292175,38649.14935973435,1329.910888907736,0.5373234246456728,1248.1773074977295,0.0,634.857528758413,1.0,19045.725862752388,,,,,,,,,,,,,82396.62675290136
MAPPO,8,240,-135.69269264292862,-4.523089754764287,30,1,,0,,-0.10922018041213354,16.07105630238851,6.155130907341286,1872.9564667447244,1872.9564667447244,1872.9564667447244,0.0,0.0,56188.694002341734,0.0,0.0,0.0,0.0,1.0,0.7484950734413425,0.2515049265586575,4.888441345451415,21764.394997266478,34424.299005075256,10.45930801274868,11721.57185030175,417.95874890230004,0.7215926588380611,817.1906167672507,22200.92661082793,784.4889458172858,0.6258687070853981,1333.7417636906441,501.80054394557044,670.5087720251387,0.9739805501345565,19613.46261680859,,,,,,,,,,,,,56188.694002341734
MAPPO,9,270,-230.66598237612862,-7.6888660792042876,30,1,,0,,-0.037498162438472114,17.691522534688314,6.162437292381569,3272.4815681715777,3272.4815681715777,3272.4815681715777,0.0,0.0,98174.44704514733,0.0,0.0,0.0,0.0,1.0,0.6345845358210844,0.36541546417891557,6.641897565366488,21492.979239554625,76681.4678055927,9.349098949246422,21194.710036790817,845.8871127462585,0.602311237667466,4181.903345596937,55204.47936770448,1878.9758945404558,0.47488277530707096,1164.7974685091892,282.278401097419,547.618560884864,0.9738361584492744,16146.278425448501,,,,,,,,,,,,,98174.44704514733
MAPPO,10,300,-235.5958716733351,-7.853195722444503,30,1,,0,,-0.1007446676492691,16.82717310587565,6.267159128189087,3273.475914041526,3273.475914041526,3273.475914041526,0.0,0.0,98204.27742124577,0.0,0.0,0.0,0.0,1.0,0.5789801386233352,0.4210198613766648,4.311518857496873,17670.925763598047,80533.35165764773,7.638530681468246,27503.869750621016,919.1275444720451,0.46111306658999407,69.95658354033795,52749.81375524667,1784.5883367215215,0.4520516108076907,787.8363463989705,279.6681517800424,569.7600328479592,0.9698525925125937,16813.132833658736,,,,,,,,,,,,,98204.27742124577
