algorithm,episode,rl_mean_action,rl_std_action,rl_zero_action_rate,rl_max_action_rate,rl_invalid_action_count,exec_mean_action,exec_std_action,exec_zero_action_rate,exec_max_action_rate,exec_invalid_action_count,env_mean_order_qty,env_std_order_qty,env_zero_order_rate,env_max_order_rate,rl_per_node_mean_action,rl_per_node_std_action,rl_per_layer_mean_action,exec_per_node_mean_action,exec_per_node_std_action,exec_per_layer_mean_action,env_per_node_mean_order_qty,env_per_node_std_order_qty,env_per_layer_mean_order_qty
IQL,1,15.722222222222221,8.473961570089754,0.035,0.03,0,15.722222222222221,8.473961570089754,0.035,0.03,0,15.722222222222221,8.473961570089754,0.022222222222222223,0.03333333333333333,14.8333;18.4;14.7;13.7667;15.4667;16.9;14.2;16.2;17.0333,7.67717;8.30502;7.8322;8.77376;8.32159;8.58429;8.24783;8.97552;8.36454,16.6167;14.6444;16.0833,14.8333;18.4;14.7;13.7667;15.4667;16.9;14.2;16.2;17.0333,7.67717;8.30502;7.8322;8.77376;8.32159;8.58429;8.24783;8.97552;8.36454,16.6167;14.6444;16.0833,14.8333;18.4;14.7;13.7667;15.4667;16.9;14.2;16.2;17.0333,7.67717;8.30502;7.8322;8.77376;8.32159;8.58429;8.24783;8.97552;8.36454,16.6167;14.6444;16.0833
IQL,2,15.403703703703703,9.27940696865841,0.02666666666666667,0.03333333333333333,0,15.403703703703703,9.27940696865841,0.02666666666666667,0.03333333333333333,0,15.403703703703703,9.27940696865841,0.040740740740740744,0.03333333333333333,16.3667;11.7;15.1;12.9333;15.5667;18.0667;16.6;16.6;15.7,9.6211;8.86999;8.36002;8.4968;9.71145;8.66769;9.70429;8.84911;9.42391,14.0333;14.5333;16.7417,16.3667;11.7;15.1;12.9333;15.5667;18.0667;16.6;16.6;15.7,9.6211;8.86999;8.36002;8.4968;9.71145;8.66769;9.70429;8.84911;9.42391,14.0333;14.5333;16.7417,16.3667;11.7;15.1;12.9333;15.5667;18.0667;16.6;16.6;15.7,9.6211;8.86999;8.36002;8.4968;9.71145;8.66769;9.70429;8.84911;9.42391,14.0333;14.5333;16.7417
IQL,3,14.177777777777777,8.738901250256143,0.03,0.015,0,14.177777777777777,8.738901250256143,0.03,0.015,0,14.177777777777777,8.738901250256143,0.044444444444444446,0.011111111111111112,15.5333;12.4333;13.4;15.7667;14.0333;14.1333;12.9;17.1667;12.2333,9.18235;9.75938;8.29699;7.41927;8.38842;8.28546;9.24968;7.68151;8.82679,13.9833;14.4;14.1083,15.5333;12.4333;13.4;15.7667;14.0333;14.1333;12.9;17.1667;12.2333,9.18235;9.75938;8.29699;7.41927;8.38842;8.28546;9.24968;7.68151;8.82679,13.9833;14.4;14.1083,15.5333;12.4333;13.4;15.7667;14.0333;14.1333;12.9;17.1667;12.2333,9.18235;9.75938;8.29699;7.41927;8.38842;8.28546;9.24968;7.68151;8.82679,13.9833;14.4;14.1083
IQL,4,15.192592592592593,8.696100698159936,0.035,0.035,0,15.192592592592593,8.696100698159936,0.035,0.035,0,15.192592592592593,8.696100698159936,0.022222222222222223,0.02962962962962963,15.1333;14.3667;15.5667;16.3;13.1667;16.3667;14.5;14.3667;16.9667,8.91715;8.63899;7.57048;8.37118;8.91098;8.19953;8.97682;8.89001;8.99809,14.75;15.0111;15.55,15.1333;14.3667;15.5667;16.3;13.1667;16.3667;14.5;14.3667;16.9667,8.91715;8.63899;7.57048;8.37118;8.91098;8.19953;8.97682;8.89001;8.99809,14.75;15.0111;15.55,15.1333;14.3667;15.5667;16.3;13.1667;16.3667;14.5;14.3667;16.9667,8.91715;8.63899;7.57048;8.37118;8.91098;8.19953;8.97682;8.89001;8.99809,14.75;15.0111;15.55
IQL,5,14.603703703703705,8.977048161282543,0.03833333333333333,0.03166666666666667,0,14.603703703703705,8.977048161282543,0.03833333333333333,0.03166666666666667,0,14.603703703703705,8.977048161282543,0.040740740740740744,0.03333333333333333,15.3333;15.5667;15.6667;11.7667;13.4;13.5;16.5667;13.8667;15.7667,8.0305;9.97224;8.79141;8.11863;8.81136;9.25833;8.26109;8.52343;9.73887,15.45;13.6111;14.925,15.3333;15.5667;15.6667;11.7667;13.4;13.5;16.5667;13.8667;15.7667,8.0305;9.97224;8.79141;8.11863;8.81136;9.25833;8.26109;8.52343;9.73887,15.45;13.6111;14.925,15.3333;15.5667;15.6667;11.7667;13.4;13.5;16.5667;13.8667;15.7667,8.0305;9.97224;8.79141;8.11863;8.81136;9.25833;8.26109;8.52343;9.73887,15.45;13.6111;14.925
IQL,6,14.61111111111111,9.082373377748764,0.045,0.03,0,14.61111111111111,9.082373377748764,0.045,0.03,0,14.61111111111111,9.082373377748764,0.04814814814814815,0.018518518518518517,13.7667;10.4333;16.4333;14.8667;16.7667;14.5;14.9333;12.7333;17.0667,8.9207;8.24897;8.78515;9.76979;8.9207;9.549;8.83905;9.13941;7.33909,12.1;16.0222;14.8083,13.7667;10.4333;16.4333;14.8667;16.7667;14.5;14.9333;12.7333;17.0667,8.9207;8.24897;8.78515;9.76979;8.9207;9.549;8.83905;9.13941;7.33909,12.1;16.0222;14.8083,13.7667;10.4333;16.4333;14.8667;16.7667;14.5;14.9333;12.7333;17.0667,8.9207;8.24897;8.78515;9.76979;8.9207;9.549;8.83905;9.13941;7.33909,12.1;16.0222;14.8083
IQL,7,14.574074074074074,8.655124476182692,0.015,0.035,0,14.574074074074074,8.655124476182692,0.015,0.035,0,14.574074074074074,8.655124476182692,0.022222222222222223,0.03333333333333333,17.8333;14.2333;11.6333;14.7;14.8333;11.7333;18.4;12.7333;15.0667,7.84892;8.44466;8.04356;8.6954;8.71812;8.51639;7.60526;8.8164;8.42984,16.0333;13.7222;14.4833,17.8333;14.2333;11.6333;14.7;14.8333;11.7333;18.4;12.7333;15.0667,7.84892;8.44466;8.04356;8.6954;8.71812;8.51639;7.60526;8.8164;8.42984,16.0333;13.7222;14.4833,17.8333;14.2333;11.6333;14.7;14.8333;11.7333;18.4;12.7333;15.0667,7.84892;8.44466;8.04356;8.6954;8.71812;8.51639;7.60526;8.8164;8.42984,16.0333;13.7222;14.4833
IQL,8,15.451851851851853,8.925799906902022,0.018333333333333333,0.03833333333333333,0,15.451851851851853,8.925799906902022,0.018333333333333333,0.03833333333333333,0,15.451851851851853,8.925799906902022,0.011111111111111112,0.044444444444444446,16.4;14.7;17.1667;17.1333;13.2;14.1;14.2667;16.5;15.6,8.74681;7.70346;8.9929;9.42597;9.05686;8.58817;9.70887;8.83082;8.1715,15.55;15.8333;15.1167,16.4;14.7;17.1667;17.1333;13.2;14.1;14.2667;16.5;15.6,8.74681;7.70346;8.9929;9.42597;9.05686;8.58817;9.70887;8.83082;8.1715,15.55;15.8333;15.1167,16.4;14.7;17.1667;17.1333;13.2;14.1;14.2667;16.5;15.6,8.74681;7.70346;8.9929;9.42597;9.05686;8.58817;9.70887;8.83082;8.1715,15.55;15.8333;15.1167
IQL,9,15.092592592592593,9.080847811860265,0.03,0.02666666666666667,0,15.092592592592593,9.080847811860265,0.03,0.02666666666666667,0,15.092592592592593,9.080847811860265,0.03333333333333333,0.040740740740740744,13.0667;15.8;16.9;16.2333;16.6;16.2;13.5667;15.2333;12.2333,9.74999;9.97463;7.31824;9.82746;8.81136;9.48824;8.70128;8.86447;7.23272,14.4333;16.5778;14.3083,13.0667;15.8;16.9;16.2333;16.6;16.2;13.5667;15.2333;12.2333,9.74999;9.97463;7.31824;9.82746;8.81136;9.48824;8.70128;8.86447;7.23272,14.4333;16.5778;14.3083,13.0667;15.8;16.9;16.2333;16.6;16.2;13.5667;15.2333;12.2333,9.74999;9.97463;7.31824;9.82746;8.81136;9.48824;8.70128;8.86447;7.23272,14.4333;16.5778;14.3083
IQL,10,14.851851851851851,9.173244927318287,0.025,0.03833333333333333,0,14.851851851851851,9.173244927318287,0.025,0.03833333333333333,0,14.851851851851851,9.173244927318287,0.02962962962962963,0.022222222222222223,14.4333;13.0333;15.2667;15.0667;16.0667;15.1333;13.6667;15.6333;15.3667,9.26888;8.7616;9.66414;9.67448;9.46197;9.37988;8.91939;8.96096;7.92247,13.7333;15.4667;14.95,14.4333;13.0333;15.2667;15.0667;16.0667;15.1333;13.6667;15.6333;15.3667,9.26888;8.7616;9.66414;9.67448;9.46197;9.37988;8.91939;8.96096;7.92247,13.7333;15.4667;14.95,14.4333;13.0333;15.2667;15.0667;16.0667;15.1333;13.6667;15.6333;15.3667,9.26888;8.7616;9.66414;9.67448;9.46197;9.37988;8.91939;8.96096;7.92247,13.7333;15.4667;14.95
IQL,11,13.829629629629629,9.081557005304958,0.03,0.03333333333333333,0,13.829629629629629,9.081557005304958,0.03,0.03333333333333333,0,13.829629629629629,9.081557005304958,0.03333333333333333,0.025925925925925925,11.6;13.3667;12.7;15.1667;14.2667;14.8333;13.7667;15.9667;12.8,8.51117;8.17917;8.80587;9.49415;7.79287;9.97358;9.85117;9.76553;8.21949,12.4833;14.0444;14.3417,11.6;13.3667;12.7;15.1667;14.2667;14.8333;13.7667;15.9667;12.8,8.51117;8.17917;8.80587;9.49415;7.79287;9.97358;9.85117;9.76553;8.21949,12.4833;14.0444;14.3417,11.6;13.3667;12.7;15.1667;14.2667;14.8333;13.7667;15.9667;12.8,8.51117;8.17917;8.80587;9.49415;7.79287;9.97358;9.85117;9.76553;8.21949,12.4833;14.0444;14.3417
