algorithm,cost_scope,transport_weight,avg_inventory_cost_per_step,avg_routing_cost_per_step,avg_weighted_total_cost_per_step,avg_cost_per_step,avg_fill_rate,avg_stockout_rate,avg_bullwhip_cv,avg_transport_per_step,avg_route_distance_per_step,routing_feasible_rate,runtime_sec
BaseStock,inventory_only,0.0,919.8933333333333,0.0,919.8933333333334,919.8933333333334,0.7581004263910225,0.24189957360897757,8.039348941902823,0.0,0.0,1.0,0.03232288360595703
"(s,S)",inventory_only,0.0,1006.3466666666667,0.0,1006.3466666666666,1006.3466666666666,0.7281420378193156,0.27185796218068425,9.420426142752152,0.0,0.0,1.0,0.030289649963378906
BaseStock+Savings,inventory_plus_routing,0.25,919.8933333333333,14.121100506819397,934.0144338401527,934.0144338401527,0.7581004263910225,0.24189957360897757,8.039348941902823,14.121100506819397,56.48440202727759,1.0,0.04140496253967285
"(s,S)+Savings",inventory_plus_routing,0.25,1006.3466666666667,10.450314772089245,1016.7969814387559,1016.7969814387559,0.7281420378193156,0.27185796218068425,9.420426142752152,10.450314772089245,41.80125908835698,1.0,0.0390322208404541
BaseStock+Savings2Opt,inventory_plus_routing,0.25,919.8933333333333,14.121100506819397,934.0144338401527,934.0144338401527,0.7581004263910225,0.24189957360897757,8.039348941902823,14.121100506819397,56.48440202727759,1.0,0.03980684280395508
"(s,S)+Savings2Opt",inventory_plus_routing,0.25,1006.3466666666667,10.450314772089245,1016.7969814387559,1016.7969814387559,0.7281420378193156,0.27185796218068425,9.420426142752152,10.450314772089245,41.80125908835698,1.0,0.04034829139709473
BaseStock+NearestInsertion,inventory_plus_routing,0.25,919.8933333333333,14.121100506819397,934.0144338401527,934.0144338401527,0.7581004263910225,0.24189957360897757,8.039348941902823,14.121100506819397,56.48440202727759,1.0,0.07874274253845215
"(s,S)+NearestInsertion",inventory_plus_routing,0.25,1006.3466666666667,10.450314772089245,1016.7969814387559,1016.7969814387559,0.7281420378193156,0.27185796218068425,9.420426142752152,10.450314772089245,41.80125908835698,1.0,0.03824663162231445
BaseStock+GARouting,inventory_plus_routing,0.25,919.8933333333333,14.121100506819397,934.0144338401527,934.0144338401527,0.7581004263910225,0.24189957360897757,8.039348941902823,14.121100506819397,56.48440202727759,1.0,7.802297115325928
"(s,S)+GARouting",inventory_plus_routing,0.25,1006.3466666666667,10.450314772089245,1016.7969814387559,1016.7969814387559,0.7281420378193156,0.27185796218068425,9.420426142752152,10.450314772089245,41.80125908835698,1.0,5.521153450012207
GAInventory+Savings,inventory_plus_routing,0.25,682.0133333333334,29.657715508466513,711.6710488417998,711.6710488417998,0.9843256649885385,0.015674335011461628,3.189628552065869,29.65771550846651,118.63086203386604,1.0,2.1532726287841797
GAInventory+Savings2Opt,inventory_plus_routing,0.25,682.0133333333334,29.657715508466513,711.6710488417998,711.6710488417998,0.9843256649885385,0.015674335011461628,3.189628552065869,29.65771550846651,118.63086203386604,1.0,2.17897367477417
ALNSInventory+Savings,inventory_plus_routing,0.25,782.0266666666666,26.69565752915571,808.7223241958224,808.7223241958224,0.9721011423316914,0.02789885766830851,3.5827878786492713,26.69565752915571,106.78263011662284,1.0,0.6755433082580566
ALNSInventory+Savings2Opt,inventory_plus_routing,0.25,782.0266666666666,26.69565752915571,808.7223241958224,808.7223241958224,0.9721011423316914,0.02789885766830851,3.5827878786492713,26.69565752915571,106.78263011662284,1.0,0.6733038425445557
ALNS-IRP,inventory_plus_routing,0.25,820.1466666666668,26.4108485213149,846.5575151879817,846.5575151879817,0.972153435247027,0.027846564752972914,3.6646112211189035,26.410848521314904,105.64339408525962,1.0,2.6520533561706543
IQL,inventory_only,0.0,1853.180205088191,0.0,1853.1802050881906,1853.1802050881906,0.8775460162038395,0.12245398379616046,1.4348101028119615,0.0,0.0,1.0,79.83159756660461
QMIX,inventory_only,0.0,1215.433119772832,0.0,1215.433119772832,1215.433119772832,0.9114060328563175,0.08859396714368237,3.5179878798656388,0.0,0.0,1.0,78.6612777709961
MAPPO,inventory_only,0.0,1556.5693506493506,0.0,1556.5693506493506,1556.5693506493506,0.9271639039678318,0.07283609603216823,12.900431749511649,0.0,0.0,1.0,197.95973563194275
IQL-GNN,inventory_only,0.0,2282.2121858642267,0.0,2282.2121858642267,2282.2121858642267,0.8100296243185008,0.18997037568149916,5.285361557002615,0.0,0.0,1.0,107.81987595558167
QMIX-GNN,inventory_only,0.0,1098.4681938173167,0.0,1098.4681938173167,1098.4681938173167,0.8817274408920625,0.11827255910793757,2.8986481675718077,0.0,0.0,1.0,106.6969268321991
MAPPO-GNN,inventory_only,0.0,1803.2466666666667,0.0,1803.2466666666667,1803.2466666666667,0.8296652040208325,0.17033479597916748,2342.930428249182,0.0,0.0,1.0,212.04265666007996
