algorithm,episode,rl_mean_action,rl_std_action,rl_zero_action_rate,rl_max_action_rate,rl_invalid_action_count,exec_mean_action,exec_std_action,exec_zero_action_rate,exec_max_action_rate,exec_invalid_action_count,env_mean_order_qty,env_std_order_qty,env_zero_order_rate,env_max_order_rate,rl_per_node_mean_action,rl_per_node_std_action,rl_per_layer_mean_action,exec_per_node_mean_action,exec_per_node_std_action,exec_per_layer_mean_action,env_per_node_mean_order_qty,env_per_node_std_order_qty,env_per_layer_mean_order_qty
IQL,1,15.155555555555555,8.454993411011444,0.02666666666666667,0.028333333333333332,0,15.155555555555555,8.454993411011444,0.02666666666666667,0.028333333333333332,0,15.155555555555555,8.454993411011444,0.018518518518518517,0.025925925925925925,15.1667;14.4;18.1333;15.2333;15.1;15.4333;12.9;13.7667;16.2667,7.83191;9.07965;7.53982;8.81923;8.4117;8.06508;7.87126;9.06158;8.20542,14.7833;16.1556;14.5917,15.1667;14.4;18.1333;15.2333;15.1;15.4333;12.9;13.7667;16.2667,7.83191;9.07965;7.53982;8.81923;8.4117;8.06508;7.87126;9.06158;8.20542,14.7833;16.1556;14.5917,15.1667;14.4;18.1333;15.2333;15.1;15.4333;12.9;13.7667;16.2667,7.83191;9.07965;7.53982;8.81923;8.4117;8.06508;7.87126;9.06158;8.20542,14.7833;16.1556;14.5917
IQL,2,15.614814814814816,8.822097831632318,0.025,0.021666666666666667,0,15.614814814814816,8.822097831632318,0.025,0.021666666666666667,0,15.614814814814816,8.822097831632318,0.025925925925925925,0.02962962962962963,14.3;14.7667;17.6667;15.9667;16.4667;16.0333;16.2;15.6333;13.5,9.66144;7.06486;7.7603;9.93138;9.65309;8.16694;9.20652;8.82981;7.95299,14.5333;16.7;15.3417,14.3;14.7667;17.6667;15.9667;16.4667;16.0333;16.2;15.6333;13.5,9.66144;7.06486;7.7603;9.93138;9.65309;8.16694;9.20652;8.82981;7.95299,14.5333;16.7;15.3417,14.3;14.7667;17.6667;15.9667;16.4667;16.0333;16.2;15.6333;13.5,9.66144;7.06486;7.7603;9.93138;9.65309;8.16694;9.20652;8.82981;7.95299,14.5333;16.7;15.3417
IQL,3,15.507407407407408,8.500868187728258,0.018333333333333333,0.03166666666666667,0,15.507407407407408,8.500868187728258,0.018333333333333333,0.03166666666666667,0,15.507407407407408,8.500868187728258,0.018518518518518517,0.02962962962962963,16.8667;17.7;15.6667;15.3;13.1333;12.4667;19.5333;13.7667;15.1333,7.05565;6.94814;10.1566;7.61643;8.30957;8.09829;8.77015;8.34539;8.30555,17.2833;14.7;15.225,16.8667;17.7;15.6667;15.3;13.1333;12.4667;19.5333;13.7667;15.1333,7.05565;6.94814;10.1566;7.61643;8.30957;8.09829;8.77015;8.34539;8.30555,17.2833;14.7;15.225,16.8667;17.7;15.6667;15.3;13.1333;12.4667;19.5333;13.7667;15.1333,7.05565;6.94814;10.1566;7.61643;8.30957;8.09829;8.77015;8.34539;8.30555,17.2833;14.7;15.225
IQL,4,14.544444444444444,8.731587328999844,0.043333333333333335,0.03166666666666667,0,14.544444444444444,8.731587328999844,0.043333333333333335,0.03166666666666667,0,14.544444444444444,8.731587328999844,0.037037037037037035,0.03333333333333333,13;14;15.5333;14.5667;14.4667;16.3333;13.7667;14.7;14.5333,8.12404;9.08845;8.49993;8.17591;7.7963;7.55572;9.68739;8.85494;10.0424,13.5;14.8556;14.8333,13;14;15.5333;14.5667;14.4667;16.3333;13.7667;14.7;14.5333,8.12404;9.08845;8.49993;8.17591;7.7963;7.55572;9.68739;8.85494;10.0424,13.5;14.8556;14.8333,13;14;15.5333;14.5667;14.4667;16.3333;13.7667;14.7;14.5333,8.12404;9.08845;8.49993;8.17591;7.7963;7.55572;9.68739;8.85494;10.0424,13.5;14.8556;14.8333
IQL,5,15.481481481481481,8.858017378583467,0.02,0.04833333333333333,0,15.481481481481481,8.858017378583467,0.02,0.04833333333333333,0,15.481481481481481,8.858017378583467,0.018518518518518517,0.05185185185185185,13.2333;17.4667;15.9;17.1;14.5;14.9667;14;17.4667;14.7,9.43993;9.07647;8.63848;8.70383;7.91518;9.00549;8.5557;8.86466;8.30723,15.35;15.8333;15.2833,13.2333;17.4667;15.9;17.1;14.5;14.9667;14;17.4667;14.7,9.43993;9.07647;8.63848;8.70383;7.91518;9.00549;8.5557;8.86466;8.30723,15.35;15.8333;15.2833,13.2333;17.4667;15.9;17.1;14.5;14.9667;14;17.4667;14.7,9.43993;9.07647;8.63848;8.70383;7.91518;9.00549;8.5557;8.86466;8.30723,15.35;15.8333;15.2833
IQL,6,14.585185185185185,9.02743570102146,0.03833333333333333,0.043333333333333335,0,14.585185185185185,9.02743570102146,0.03833333333333333,0.043333333333333335,0,14.585185185185185,9.02743570102146,0.05185185185185185,0.05925925925925926,12.1333;13.9;17.3667;12.9667;16.5667;15.7667;15.0333;14.3333;13.2,7.77489;8.56874;9.17418;8.03112;8.78895;8.3414;9.30048;9.62404;10.0313,13.0167;15.6333;14.5833,12.1333;13.9;17.3667;12.9667;16.5667;15.7667;15.0333;14.3333;13.2,7.77489;8.56874;9.17418;8.03112;8.78895;8.3414;9.30048;9.62404;10.0313,13.0167;15.6333;14.5833,12.1333;13.9;17.3667;12.9667;16.5667;15.7667;15.0333;14.3333;13.2,7.77489;8.56874;9.17418;8.03112;8.78895;8.3414;9.30048;9.62404;10.0313,13.0167;15.6333;14.5833
IQL,7,15.585185185185185,8.837533747798886,0.03833333333333333,0.02666666666666667,0,15.585185185185185,8.837533747798886,0.03833333333333333,0.02666666666666667,0,15.585185185185185,8.837533747798886,0.044444444444444446,0.025925925925925925,15.2333;17.9;14.2667;15.4667;14.9333;13.8667;16.8667;16.4667;15.2667,8.23684;8.73441;8.3743;9.41181;9.53566;7.95711;9.65655;8.87594;7.7886,16.5667;14.8889;15.6167,15.2333;17.9;14.2667;15.4667;14.9333;13.8667;16.8667;16.4667;15.2667,8.23684;8.73441;8.3743;9.41181;9.53566;7.95711;9.65655;8.87594;7.7886,16.5667;14.8889;15.6167,15.2333;17.9;14.2667;15.4667;14.9333;13.8667;16.8667;16.4667;15.2667,8.23684;8.73441;8.3743;9.41181;9.53566;7.95711;9.65655;8.87594;7.7886,16.5667;14.8889;15.6167
IQL,8,15.925925925925926,9.114197008273639,0.02666666666666667,0.04,0,15.925925925925926,9.114197008273639,0.02666666666666667,0.04,0,15.925925925925926,9.114197008273639,0.02962962962962963,0.037037037037037035,17.0333;16.7;14.5333;18.2667;17.2333;14.6333;14.3667;14.2333;16.3333,9.63149;9.18023;7.55748;8.67154;8.8041;7.93508;10.4642;8.41302;9.97107,16.8667;16.6778;14.8917,17.0333;16.7;14.5333;18.2667;17.2333;14.6333;14.3667;14.2333;16.3333,9.63149;9.18023;7.55748;8.67154;8.8041;7.93508;10.4642;8.41302;9.97107,16.8667;16.6778;14.8917,17.0333;16.7;14.5333;18.2667;17.2333;14.6333;14.3667;14.2333;16.3333,9.63149;9.18023;7.55748;8.67154;8.8041;7.93508;10.4642;8.41302;9.97107,16.8667;16.6778;14.8917
IQL,9,16.14074074074074,8.716661748851779,0.018333333333333333,0.04666666666666667,0,16.14074074074074,8.716661748851779,0.018333333333333333,0.04666666666666667,0,16.14074074074074,8.716661748851779,0.018518518518518517,0.044444444444444446,15.9;17.0333;15.1667;19.0667;15.3;15.7;14.4667;17.5;15.1333,9.13729;8.88626;7.57224;6.77709;8.57574;8.64542;9.48238;9.00648;9.04704,16.4667;16.5111;15.7,15.9;17.0333;15.1667;19.0667;15.3;15.7;14.4667;17.5;15.1333,9.13729;8.88626;7.57224;6.77709;8.57574;8.64542;9.48238;9.00648;9.04704,16.4667;16.5111;15.7,15.9;17.0333;15.1667;19.0667;15.3;15.7;14.4667;17.5;15.1333,9.13729;8.88626;7.57224;6.77709;8.57574;8.64542;9.48238;9.00648;9.04704,16.4667;16.5111;15.7
IQL,10,14.35925925925926,8.934359777649899,0.02666666666666667,0.035,0,14.35925925925926,8.934359777649899,0.02666666666666667,0.035,0,14.35925925925926,8.934359777649899,0.04814814814814815,0.03333333333333333,14.2667;12.8667;14.2333;13.2333;14.0333;15.9333;17.0667;14.4333;13.1667,8.84283;8.16388;9.09096;8.53887;8.49503;9.906;9.86892;8.9319;7.46138,13.5667;13.8333;15.15,14.2667;12.8667;14.2333;13.2333;14.0333;15.9333;17.0667;14.4333;13.1667,8.84283;8.16388;9.09096;8.53887;8.49503;9.906;9.86892;8.9319;7.46138,13.5667;13.8333;15.15,14.2667;12.8667;14.2333;13.2333;14.0333;15.9333;17.0667;14.4333;13.1667,8.84283;8.16388;9.09096;8.53887;8.49503;9.906;9.86892;8.9319;7.46138,13.5667;13.8333;15.15
