algorithm,cost_scope,transport_weight,avg_inventory_cost_per_step,avg_routing_cost_per_step,avg_weighted_total_cost_per_step,avg_cost_per_step,avg_fill_rate,avg_stockout_rate,avg_bullwhip_cv,avg_requested_bullwhip_cv,avg_shipped_bullwhip_cv,max_bullwhip_cv,max_requested_bullwhip_cv,avg_order_mean,avg_order_std,avg_order_var,avg_demand_mean,avg_demand_std,avg_demand_var,avg_requested_demand_mean,avg_requested_demand_std,avg_requested_demand_var,avg_shipped_demand_mean,avg_shipped_demand_std,avg_shipped_demand_var,avg_fulfilled_demand_mean,avg_fulfilled_demand_std,avg_fulfilled_demand_var,min_demand_var,min_requested_demand_var,max_order_var,avg_transport_per_step,avg_route_distance_per_step,routing_feasible_rate,runtime_sec
BaseStock,inventory_only,0.0,1016.2333333333333,0.0,1016.2333333333333,1016.2333333333333,0.7220867458258279,0.2779132541741721,7.719212649409438,7.48480372360109,7.719212649409438,25.057664233576645,25.057664233576645,9.925925925925924,9.59185819956011,96.70543209876544,6.959259259259259,6.1232897102427675,47.524567901234576,12.777777777777777,8.24443291615112,101.71456790123457,6.959259259259259,6.1232897102427675,47.524567901234576,6.025925925925926,5.562960610246105,32.62777777777777,6.088888888888889,6.088888888888889,164.35666666666665,0.0,0.0,1.0,0.024921417236328125
"(s,S)",inventory_only,0.0,1133.5333333333333,0.0,1133.5333333333333,1133.5333333333333,0.7048250860570087,0.29517491394299133,8.962546189994315,8.739611734456444,8.962546189994315,27.667153284671542,27.667153284671542,10.174074074074074,10.630991522780008,116.23716049382716,6.77037037037037,6.677505688761633,57.35802469135803,13.044444444444444,8.963583239512467,120.14740740740743,6.77037037037037,6.677505688761633,57.35802469135803,5.7555555555555555,6.563047777649617,43.96098765432099,6.088888888888889,6.088888888888889,169.69333333333324,0.0,0.0,1.0,0.01704859733581543
BaseStock+Savings,inventory_plus_routing,0.25,1016.2333333333333,13.307764064044152,1029.5410973973774,1029.5410973973774,0.7220867458258279,0.2779132541741721,7.719212649409438,7.48480372360109,7.719212649409438,25.057664233576645,25.057664233576645,9.925925925925924,9.59185819956011,96.70543209876544,6.959259259259259,6.1232897102427675,47.524567901234576,12.777777777777777,8.24443291615112,101.71456790123457,6.959259259259259,6.1232897102427675,47.524567901234576,6.025925925925926,5.562960610246105,32.62777777777777,6.088888888888889,6.088888888888889,164.35666666666665,13.307764064044152,53.23105625617661,1.0,0.022131919860839844
"(s,S)+Savings",inventory_plus_routing,0.25,1133.5333333333333,11.183395522171596,1144.716728855505,1144.716728855505,0.7048250860570087,0.29517491394299133,8.962546189994315,8.739611734456444,8.962546189994315,27.667153284671542,27.667153284671542,10.174074074074074,10.630991522780008,116.23716049382716,6.77037037037037,6.677505688761633,57.35802469135803,13.044444444444444,8.963583239512467,120.14740740740743,6.77037037037037,6.677505688761633,57.35802469135803,5.7555555555555555,6.563047777649617,43.96098765432099,6.088888888888889,6.088888888888889,169.69333333333324,11.183395522171596,44.73358208868638,1.0,0.013231515884399414
BaseStock+Savings2Opt,inventory_plus_routing,0.25,1016.2333333333333,13.307764064044152,1029.5410973973774,1029.5410973973774,0.7220867458258279,0.2779132541741721,7.719212649409438,7.48480372360109,7.719212649409438,25.057664233576645,25.057664233576645,9.925925925925924,9.59185819956011,96.70543209876544,6.959259259259259,6.1232897102427675,47.524567901234576,12.777777777777777,8.24443291615112,101.71456790123457,6.959259259259259,6.1232897102427675,47.524567901234576,6.025925925925926,5.562960610246105,32.62777777777777,6.088888888888889,6.088888888888889,164.35666666666665,13.307764064044152,53.23105625617661,1.0,0.019770145416259766
"(s,S)+Savings2Opt",inventory_plus_routing,0.25,1133.5333333333333,11.183395522171596,1144.716728855505,1144.716728855505,0.7048250860570087,0.29517491394299133,8.962546189994315,8.739611734456444,8.962546189994315,27.667153284671542,27.667153284671542,10.174074074074074,10.630991522780008,116.23716049382716,6.77037037037037,6.677505688761633,57.35802469135803,13.044444444444444,8.963583239512467,120.14740740740743,6.77037037037037,6.677505688761633,57.35802469135803,5.7555555555555555,6.563047777649617,43.96098765432099,6.088888888888889,6.088888888888889,169.69333333333324,11.183395522171596,44.73358208868638,1.0,0.014898300170898438
BaseStock+NearestInsertion,inventory_plus_routing,0.25,1016.2333333333333,13.307764064044152,1029.5410973973774,1029.5410973973774,0.7220867458258279,0.2779132541741721,7.719212649409438,7.48480372360109,7.719212649409438,25.057664233576645,25.057664233576645,9.925925925925924,9.59185819956011,96.70543209876544,6.959259259259259,6.1232897102427675,47.524567901234576,12.777777777777777,8.24443291615112,101.71456790123457,6.959259259259259,6.1232897102427675,47.524567901234576,6.025925925925926,5.562960610246105,32.62777777777777,6.088888888888889,6.088888888888889,164.35666666666665,13.307764064044152,53.23105625617661,1.0,0.016295909881591797
"(s,S)+NearestInsertion",inventory_plus_routing,0.25,1133.5333333333333,11.183395522171596,1144.716728855505,1144.716728855505,0.7048250860570087,0.29517491394299133,8.962546189994315,8.739611734456444,8.962546189994315,27.667153284671542,27.667153284671542,10.174074074074074,10.630991522780008,116.23716049382716,6.77037037037037,6.677505688761633,57.35802469135803,13.044444444444444,8.963583239512467,120.14740740740743,6.77037037037037,6.677505688761633,57.35802469135803,5.7555555555555555,6.563047777649617,43.96098765432099,6.088888888888889,6.088888888888889,169.69333333333324,11.183395522171596,44.73358208868638,1.0,0.014929056167602539
BaseStock+GARouting,inventory_plus_routing,0.25,1016.2333333333333,13.307764064044152,1029.5410973973774,1029.5410973973774,0.7220867458258279,0.2779132541741721,7.719212649409438,7.48480372360109,7.719212649409438,25.057664233576645,25.057664233576645,9.925925925925924,9.59185819956011,96.70543209876544,6.959259259259259,6.1232897102427675,47.524567901234576,12.777777777777777,8.24443291615112,101.71456790123457,6.959259259259259,6.1232897102427675,47.524567901234576,6.025925925925926,5.562960610246105,32.62777777777777,6.088888888888889,6.088888888888889,164.35666666666665,13.307764064044152,53.23105625617661,1.0,2.21596360206604
"(s,S)+GARouting",inventory_plus_routing,0.25,1133.5333333333333,11.183395522171596,1144.716728855505,1144.716728855505,0.7048250860570087,0.29517491394299133,8.962546189994315,8.739611734456444,8.962546189994315,27.667153284671542,27.667153284671542,10.174074074074074,10.630991522780008,116.23716049382716,6.77037037037037,6.677505688761633,57.35802469135803,13.044444444444444,8.963583239512467,120.14740740740743,6.77037037037037,6.677505688761633,57.35802469135803,5.7555555555555555,6.563047777649617,43.96098765432099,6.088888888888889,6.088888888888889,169.69333333333324,11.183395522171596,44.73358208868638,1.0,1.6976215839385986
GAInventory+Savings,inventory_plus_routing,0.25,665.0666666666667,29.00078693022312,694.0674535968898,694.0674535968898,0.9771854399507851,0.022814560049214894,3.0374327514794297,3.0620271096130858,3.0374327514794297,5.751824817518248,5.751824817518248,9.137037037037038,7.452522133324326,57.37123456790123,9.57037037037037,5.344310424206253,35.47950617283951,9.622222222222222,5.293687828353303,34.735802469135805,9.57037037037037,5.344310424206253,35.47950617283951,9.562962962962962,5.277482604927057,34.6004938271605,6.088888888888889,6.088888888888889,93.18222222222221,29.00078693022312,116.00314772089249,1.0,0.6114814281463623
GAInventory+Savings2Opt,inventory_plus_routing,0.25,665.0666666666667,29.00078693022312,694.0674535968898,694.0674535968898,0.9771854399507851,0.022814560049214894,3.0374327514794297,3.0620271096130858,3.0374327514794297,5.751824817518248,5.751824817518248,9.137037037037038,7.452522133324326,57.37123456790123,9.57037037037037,5.344310424206253,35.47950617283951,9.622222222222222,5.293687828353303,34.735802469135805,9.57037037037037,5.344310424206253,35.47950617283951,9.562962962962962,5.277482604927057,34.6004938271605,6.088888888888889,6.088888888888889,93.18222222222221,29.00078693022312,116.00314772089249,1.0,0.5498864650726318
ALNSInventory+Savings,inventory_plus_routing,0.25,749.3333333333334,27.12578693022311,776.4591202635564,776.4591202635564,0.9640300276905883,0.03596997230941168,3.4162074839035745,3.4162074839035745,3.4162074839035745,7.381776239907726,7.381776239907726,9.0,7.434891164944572,71.90592592592594,9.27037037037037,4.142658877751945,20.684567901234573,9.27037037037037,4.142658877751945,20.684567901234573,9.27037037037037,4.142658877751945,20.684567901234573,9.25925925925926,3.9987832364587734,19.90641975308642,6.088888888888889,6.088888888888889,209.0,27.12578693022311,108.50314772089244,1.0,0.2043602466583252
ALNSInventory+Savings2Opt,inventory_plus_routing,0.25,749.3333333333334,27.12578693022311,776.4591202635564,776.4591202635564,0.9640300276905883,0.03596997230941168,3.4162074839035745,3.4162074839035745,3.4162074839035745,7.381776239907726,7.381776239907726,9.0,7.434891164944572,71.90592592592594,9.27037037037037,4.142658877751945,20.684567901234573,9.27037037037037,4.142658877751945,20.684567901234573,9.27037037037037,4.142658877751945,20.684567901234573,9.25925925925926,3.9987832364587734,19.90641975308642,6.088888888888889,6.088888888888889,209.0,27.12578693022311,108.50314772089244,1.0,0.20505499839782715
ALNS-IRP,inventory_plus_routing,0.25,783.1333333333333,26.071612489951665,809.204945823285,809.204945823285,0.9587887996717398,0.0412112003282602,3.007037891525296,3.2035762390395597,3.007037891525296,7.572115384615383,7.572115384615383,9.262962962962964,7.576650820546462,75.22530864197532,9.255555555555555,4.549210632672458,25.82185185185185,9.31111111111111,4.460094853532872,25.054814814814815,9.255555555555555,4.549210632672458,25.82185185185185,9.244444444444444,4.426489920081029,25.058518518518515,6.088888888888889,6.088888888888889,224.0,26.071612489951665,104.28644995980663,1.0,0.6642577648162842
IQL,inventory_only,0.0,758.3458333333333,0.0,758.3458333333333,758.3458333333333,0.9923101640370579,0.007689835962942149,1.9076474107816486,2.658658158936406,1.9076474107816486,4.378343174713442,6.055196733661274,10.574074074074073,5.632058479892471,40.75666666666667,10.7,4.961994268917542,31.13712292658134,10.7,4.695134714415023,29.69007243451619,10.7,4.961994268917542,31.13712292658134,10.7,4.984856323515032,31.216752556210977,6.088888888888889,1.1599999999999995,108.82333333333332,0.0,0.0,1.0,296.9729962348938
QMIX,inventory_only,0.0,620.1822873611932,0.0,620.1822873611932,620.1822873611932,0.8343318995629112,0.1656681004370888,2.5316457467569973,2.7808291970112182,2.5316457467569973,9.350121569989577,9.350121569989577,12.988888888888889,5.330932579815065,38.25962962962962,8.455405912202918,6.600709067422237,60.08168971385906,15.09259259259259,4.9188695538863625,31.23639262929224,8.455405912202918,6.600709067422237,60.08168971385906,8.206382354507596,6.180493968087167,47.21793136659571,6.088888888888889,6.088888888888889,119.63999999999994,0.0,0.0,1.0,294.4042503833771
MAPPO,inventory_only,0.0,901.548358422939,0.0,901.548358422939,901.548358422939,0.8838398602248948,0.1161601397751052,1.942292464072814,1.954156166408927,1.942292464072814,9.135036496350365,9.135036496350365,7.6000000000000005,4.171468984684604,22.260246913580247,7.803984816806054,4.1204544622495325,18.38992004530998,8.362962962962962,4.31368986453142,20.821126214673093,7.803984816806054,4.1204544622495325,18.38992004530998,7.278340003982477,4.382936312309286,20.224472050318614,6.088888888888889,6.088888888888889,55.62222222222221,0.0,0.0,1.0,561.5604226589203
IQL-GNN,inventory_only,0.0,1165.1878787878788,0.0,1165.1878787878788,1165.1878787878788,0.9553485543643184,0.044651445635681575,3.4960348612661836,3.4966270609260346,3.4960348612661836,10.418369413608202,10.418369413608202,11.799999999999999,5.326470798438198,39.84172839506172,11.152188552188552,4.433094515465157,22.28985025130323,11.155555555555555,4.429946602206323,22.247922208602105,11.152188552188552,4.433094515465157,22.28985025130323,10.967003367003365,4.412909423700729,22.14910951056249,6.088888888888889,6.088888888888889,149.7955555555555,0.0,0.0,1.0,354.5972468852997
QMIX-GNN,inventory_only,0.0,2417.585915308256,0.0,2417.585915308256,2417.585915308256,0.8478214491069248,0.1521785508930752,15.633456268625975,263.87469903153624,15.633456268625975,132.05521650204068,2173.6105595172417,15.425925925925924,2.7635057737509774,16.20728395061729,10.34781610636039,3.5365279328197348,15.237239715723604,13.751851851851852,2.9966973914571584,15.402736705625829,10.34781610636039,3.5365279328197348,15.237239715723604,9.152227044053936,3.786319037028689,16.896618986723865,0.06815330918685006,0.02777201982721445,60.365555555555595,0.0,0.0,1.0,356.34486627578735
MAPPO-GNN,inventory_only,0.0,1464.8348489610264,0.0,1464.8348489610264,1464.8348489610264,0.8575509133948935,0.14244908660510647,3.3133366692350936,4.7330347181392325,3.3133366692350936,20.006260989826544,20.006260989826544,5.877777777777777,3.127669630242591,16.415679012345677,7.040085451973729,3.601698283813757,16.137944348204712,7.207407407407406,3.341383923352444,14.31040142010737,7.040085451973729,3.601698283813757,16.137944348204712,6.06043394249621,3.8704015105942258,17.91806462117321,1.9438359275960873,1.9438359275960873,47.648888888888884,0.0,0.0,1.0,597.8574702739716
