algorithm,episode,attention_mean,attention_std,attention_min,attention_max,attention_entropy,attention_edges
IQL-GNN,1,0.4090909118002111,0.21157939363247402,0.25,1.0,2.9804751173200916,22
IQL-GNN,2,0.4090909118002111,0.21157939363247402,0.25,1.0,2.9804751173200916,22
IQL-GNN,3,0.4090909118002111,0.21157939363247402,0.25,1.0,2.9804751173200916,22
IQL-GNN,4,0.4090909118002111,0.21157939363247402,0.25,1.0,2.9804751173200916,22
IQL-GNN,5,0.4090909118002111,0.21157939363247402,0.25,1.0,2.9804751173200916,22
IQL-GNN,6,0.4090909118002111,0.21157939363247402,0.25,1.0,2.9804751173200916,22
IQL-GNN,7,0.4090909118002111,0.21157939363247402,0.25,1.0,2.9804751173200916,22
IQL-GNN,8,0.4090909118002111,0.21157939363247402,0.25,1.0,2.9804751173200916,22
IQL-GNN,9,0.4090909118002111,0.21157939363247402,0.25,1.0,2.9804751173200916,22
IQL-GNN,10,0.4090909118002111,0.21157939363247402,0.25,1.0,2.9804751173200916,22
IQL-GNN,11,0.4090909118002111,0.21157939363247402,0.25,1.0,2.9804751173200916,22
IQL-GNN,12,0.4090909118002111,0.21157939363247402,0.25,1.0,2.9804751173200916,22
IQL-GNN,13,0.4090909118002111,0.21157939363247402,0.25,1.0,2.9804751173200916,22
IQL-GNN,14,0.4090909118002111,0.21157939363247402,0.25,1.0,2.9804751173200916,22
IQL-GNN,15,0.4090909118002111,0.21157939363247402,0.25,1.0,2.9804751173200916,22
IQL-GNN,16,0.4090909118002111,0.21157939363247402,0.25,1.0,2.9804751173200916,22
IQL-GNN,17,0.40909090874166315,0.2115876962121152,0.2471478134393692,1.0,7.139342569577622,1408
IQL-GNN,18,0.4090909095671536,0.211580354760154,0.24906259775161743,1.0,7.139356404014025,1408
IQL-GNN,19,0.40909090924965724,0.2115799348738147,0.24921688437461853,1.0,7.139357232981736,1408
IQL-GNN,20,0.4090909086887471,0.21158056370684286,0.24943526089191437,1.0,7.139356692314099,1408
IQL-GNN,21,0.40909090903799306,0.211608260895611,0.2485414445400238,1.0,7.139322681298328,1408
IQL-GNN,22,0.4090909092814069,0.21169536729999153,0.24887661635875702,1.0,7.139223224685939,1408
IQL-GNN,23,0.4090909089956602,0.21197455720622438,0.248566672205925,1.0,7.138897480473728,1408
IQL-GNN,24,0.4090909089956602,0.21253998113114636,0.2355457991361618,1.0,7.1381838417983525,1408
IQL-GNN,25,0.40909090863583103,0.21340530868185612,0.21640977263450623,1.0,7.13686187095569,1408
