algorithm,episode,global_step,episode_reward_sum,episode_reward_mean_per_step,episode_length,update_count,epsilon,buffer_size,loss,policy_loss,value_loss,entropy,avg_cost_per_step,avg_weighted_total_cost_per_step,avg_inventory_cost_per_step,avg_routing_cost_per_step,transport_weight,total_inventory_cost,total_transport,routing_cost,avg_transport_per_step,avg_route_distance_per_step,routing_feasible_rate,avg_fill_rate,avg_stockout_rate,avg_bullwhip_cv,total_holding,total_backlog,avg_pipeline,weighted_total_cost
IQL,1,30,-73.9640507640068,-2.465468358800227,30,0,0.9968333333333333,30,,,,,1142.5915582691218,1142.5915582691218,1142.5915582691218,0.0,0.0,34277.74674807365,0.0,0.0,0.0,0.0,1.0,0.8411303329188254,0.15886966708117456,3.7317760142470147,25837.01919485438,8440.727553219276,10.807407407407409,34277.74674807365
IQL,2,60,-84.63941463414635,-2.8213138211382116,30,0,0.9936666666666667,60,,,,,1180.047154471545,1180.047154471545,1180.047154471545,0.0,0.0,35401.41463414635,0.0,0.0,0.0,0.0,1.0,0.8726255515667474,0.12737444843325263,3.6258760660744906,24881.902439024394,10519.512195121952,11.214814814814813,35401.41463414635
IQL,3,90,-57.528716876208904,-1.91762389587363,30,0,0.9905,90,,,,,1064.505384966688,1064.505384966688,1064.505384966688,0.0,0.0,31935.161549000644,0.0,0.0,0.0,0.0,1.0,0.8918989109230006,0.10810108907699945,3.184771155809818,24564.962282398454,7370.199266602192,10.722583399001838,31935.161549000644
IQL,4,120,-108.86220940916103,-3.628740313638701,30,0,0.9873333333333333,120,,,,,1369.609040864686,1369.609040864686,1369.609040864686,0.0,0.0,41088.27122594058,0.0,0.0,0.0,0.0,1.0,0.8603744376649887,0.13962556233501133,3.1635279738107647,28425.899934053163,12662.371291887423,11.80750125125125,41088.27122594058
IQL,5,150,-39.64173913043477,-1.3213913043478258,30,0,0.9841666666666666,150,,,,,1125.6521739130435,1125.6521739130435,1125.6521739130435,0.0,0.0,33769.565217391304,0.0,0.0,0.0,0.0,1.0,0.8971939187533522,0.1028060812466478,4.9971409579591795,29916.739130434784,3852.8260869565224,12.255555555555558,33769.565217391304
IQL,6,180,-95.83619083388827,-3.194539694462942,30,0,0.981,180,,,,,1157.790031834187,1157.790031834187,1157.790031834187,0.0,0.0,34733.70095502561,0.0,0.0,0.0,0.0,1.0,0.835779610961393,0.16422038903860703,3.774052760795112,23512.69034017176,11221.01061485385,9.94478410739861,34733.70095502561
IQL,7,210,-71.10961670761671,-2.3703205569205568,30,0,0.9778333333333333,210,,,,,1056.3527436527438,1056.3527436527438,1056.3527436527438,0.0,0.0,31690.582309582314,0.0,0.0,0.0,0.0,1.0,0.8364431492291041,0.16355685077089588,3.3036775258758624,24032.991536991543,7657.590772590773,10.074705008038341,31690.582309582314
IQL,8,240,-71.28222786194551,-2.3760742620648503,30,0,0.9746666666666667,240,,,,,1223.490225707833,1223.490225707833,1223.490225707833,0.0,0.0,36704.70677123499,0.0,0.0,0.0,0.0,1.0,0.8902985514599341,0.10970144854006592,4.259715941778786,28303.816332286664,8400.890438948327,12.319591353621043,36704.70677123499
IQL,9,270,-63.22347422013202,-2.107449140671067,30,0,0.9715,270,,,,,1143.782069868116,1143.782069868116,1143.782069868116,0.0,0.0,34313.46209604348,0.0,0.0,0.0,0.0,1.0,0.8828387227173248,0.11716127728267522,4.666548593393488,27342.872934374584,6970.589161668895,10.968518518518517,34313.46209604348
IQL,10,300,-49.86148936170212,-1.6620496453900706,30,0,0.9683333333333334,300,,,,,1084.308510638298,1084.308510638298,1084.308510638298,0.0,0.0,32529.25531914894,0.0,0.0,0.0,0.0,1.0,0.8854408125026986,0.11455918749730143,3.21947819233126,27372.97872340426,5156.27659574468,11.04074074074074,32529.25531914894
