algorithm,avg_cost_per_step,avg_fill_rate,avg_stockout_rate,avg_bullwhip_cv,avg_transport_per_step,avg_route_distance_per_step,routing_feasible_rate,runtime_sec
BaseStock,985.0777777777779,0.7441155310637585,0.25588446893624156,8.322972094266648,0.0,0.0,1.0,0.021979331970214844
"(s,S)",1067.311111111111,0.7158598671081607,0.2841401328918392,9.668289676744466,0.0,0.0,1.0,0.021054744720458984
BaseStock+Savings,1038.8263530095974,0.7441155310637585,0.25588446893624156,8.322972094266648,53.74857523181958,53.74857523181958,1.0,0.03279685974121094
"(s,S)+Savings",1109.6429678522322,0.7158598671081607,0.2841401328918392,9.668289676744466,42.33185674112102,42.33185674112102,1.0,0.033292293548583984
BaseStock+Savings2Opt,1038.8263530095974,0.7441155310637585,0.25588446893624156,8.322972094266648,53.74857523181958,53.74857523181958,1.0,0.03151059150695801
"(s,S)+Savings2Opt",1109.6429678522322,0.7158598671081607,0.2841401328918392,9.668289676744466,42.33185674112102,42.33185674112102,1.0,0.02755880355834961
BaseStock+NearestInsertion,1038.8263530095974,0.7441155310637585,0.25588446893624156,8.322972094266648,53.74857523181958,53.74857523181958,1.0,0.026384353637695312
"(s,S)+NearestInsertion",1109.6429678522322,0.7158598671081607,0.2841401328918392,9.668289676744466,42.33185674112102,42.33185674112102,1.0,0.02659153938293457
BaseStock+GARouting,1038.8263530095974,0.7441155310637585,0.25588446893624156,8.322972094266648,53.74857523181958,53.74857523181958,1.0,4.969282865524292
"(s,S)+GARouting",1109.6429678522322,0.7158598671081607,0.2841401328918392,9.668289676744466,42.33185674112102,42.33185674112102,1.0,3.6981091499328613
GAInventory+Savings,937.2146901688948,0.9931844985525755,0.006815501447424414,3.9079180827241715,115.71469016889495,115.71469016889495,1.0,1.1042742729187012
GAInventory+Savings2Opt,937.2146901688948,0.9931844985525755,0.006815501447424414,3.9079180827241715,115.71469016889495,115.71469016889495,1.0,0.8891496658325195
ALNSInventory+Savings,976.0313464707551,0.9648338474156617,0.03516615258433838,3.4229835151872554,107.14245758186632,107.14245758186632,1.0,0.22566938400268555
ALNSInventory+Savings2Opt,976.0313464707551,0.9648338474156617,0.03516615258433838,3.4229835151872554,107.14245758186632,107.14245758186632,1.0,0.21216344833374023
ALNS-IRP,898.6842932753499,0.9578392501999103,0.04216074980008966,2.985446099378283,100.83984883090551,100.83984883090551,1.0,0.7293977737426758
MILP,617.4,0.9956114376946402,0.004388562305359815,2.0549779405218307,0.0,0.0,1.0,3.3937013149261475
