algorithm,avg_cost_per_step,avg_fill_rate,avg_stockout_rate,avg_bullwhip_cv,avg_transport_per_step,avg_route_distance_per_step,routing_feasible_rate,runtime_sec
BaseStock,414.6333333333334,0.8174699204829876,0.1825300795170124,2.059817508997108,0.0,0.0,1.0,0.021263599395751953
"(s,S)",516.3444444444444,0.7584241635176762,0.2415758364823237,2.9863689589760427,0.0,0.0,1.0,0.02050018310546875
BaseStock+Savings,483.17599422635067,0.8174699204829876,0.1825300795170124,2.059817508997108,68.54266089301733,68.54266089301731,1.0,0.02683258056640625
"(s,S)+Savings",559.6275848314332,0.7584241635176762,0.2415758364823237,2.9863689589760427,43.28314038698867,43.28314038698867,1.0,0.02531743049621582
BaseStock+Savings2Opt,483.17599422635067,0.8174699204829876,0.1825300795170124,2.059817508997108,68.54266089301733,68.54266089301731,1.0,0.027415752410888672
"(s,S)+Savings2Opt",559.6275848314332,0.7584241635176762,0.2415758364823237,2.9863689589760427,43.28314038698867,43.28314038698867,1.0,0.025567054748535156
BaseStock+NearestInsertion,483.17599422635067,0.8174699204829876,0.1825300795170124,2.059817508997108,68.54266089301733,68.54266089301731,1.0,0.027796268463134766
"(s,S)+NearestInsertion",559.6275848314332,0.7584241635176762,0.2415758364823237,2.9863689589760427,43.28314038698867,43.28314038698867,1.0,0.03005385398864746
BaseStock+GARouting,483.17599422635067,0.8174699204829876,0.1825300795170124,2.059817508997108,68.54266089301733,68.54266089301731,1.0,6.1275646686553955
"(s,S)+GARouting",559.6275848314332,0.7584241635176762,0.2415758364823237,2.9863689589760427,43.28314038698867,43.28314038698867,1.0,3.7480854988098145
GAInventory+Savings,903.9967605859734,0.9874963221308947,0.012503677869105334,1.7118132319617023,121.4078716970845,121.4078716970845,1.0,0.6938977241516113
GAInventory+Savings2Opt,903.9967605859734,0.9874963221308947,0.012503677869105334,1.7118132319617023,121.4078716970845,121.4078716970845,1.0,0.646632194519043
ALNSInventory+Savings,1042.8001490922659,0.9913852629144494,0.008614737085550717,2.3205982602361286,103.7779268700436,103.7779268700436,1.0,0.2284250259399414
ALNSInventory+Savings2Opt,1042.8001490922659,0.9913852629144494,0.008614737085550717,2.3205982602361286,103.7779268700436,103.7779268700436,1.0,0.486147403717041
ALNS-IRP,1082.6343036401565,0.9945754096473302,0.005424590352669918,2.2770155394393417,100.18985919571186,100.18985919571186,1.0,0.93233323097229
MILP,499.82222222222225,0.9793891206156887,0.020610879384311276,1.7181340172480393,0.0,0.0,1.0,3.3022191524505615
