algorithm,avg_cost_per_step,avg_fill_rate,avg_stockout_rate,avg_bullwhip_cv,avg_transport_per_step,avg_route_distance_per_step,routing_feasible_rate,runtime_sec
BaseStock,3214.988888888889,0.5080434390330207,0.4919565609669793,1.5099573319183788,0.0,0.0,1.0,0.021663427352905273
"(s,S)",3388.511111111111,0.4956716252183689,0.5043283747816311,1.7994276249174215,0.0,0.0,1.0,0.020741701126098633
BaseStock+Savings,3268.672912679273,0.5080434390330207,0.4919565609669793,1.5099573319183788,53.68402379038411,53.68402379038411,1.0,0.027339696884155273
"(s,S)+Savings",3429.257898806527,0.4956716252183689,0.5043283747816311,1.7994276249174215,40.74678769541595,40.74678769541595,1.0,0.023980140686035156
BaseStock+Savings2Opt,3268.672912679273,0.5080434390330207,0.4919565609669793,1.5099573319183788,53.68402379038411,53.68402379038411,1.0,0.02704000473022461
"(s,S)+Savings2Opt",3429.257898806527,0.4956716252183689,0.5043283747816311,1.7994276249174215,40.74678769541595,40.74678769541595,1.0,0.025302886962890625
BaseStock+NearestInsertion,3268.672912679273,0.5080434390330207,0.4919565609669793,1.5099573319183788,53.68402379038411,53.68402379038411,1.0,0.03342461585998535
"(s,S)+NearestInsertion",3429.257898806527,0.4956716252183689,0.5043283747816311,1.7994276249174215,40.74678769541595,40.74678769541595,1.0,0.030195236206054688
BaseStock+GARouting,3268.672912679273,0.5080434390330207,0.4919565609669793,1.5099573319183788,53.68402379038411,53.68402379038411,1.0,4.796373605728149
"(s,S)+GARouting",3429.257898806527,0.4956716252183689,0.5043283747816311,1.7994276249174215,40.74678769541595,40.74678769541595,1.0,3.9839532375335693
GAInventory+Savings,1235.54711936922,0.8302345234101033,0.16976547658989663,1.3014963935302712,107.83600825810892,107.83600825810892,1.0,0.8162517547607422
GAInventory+Savings2Opt,1235.54711936922,0.8302345234101033,0.16976547658989663,1.3014963935302712,107.83600825810892,107.83600825810892,1.0,0.6337265968322754
ALNSInventory+Savings,1008.0493175129022,0.8671595410641717,0.1328404589358283,1.3668196783753483,118.62709529068006,118.62709529068006,1.0,0.19356966018676758
ALNSInventory+Savings2Opt,1008.0493175129022,0.8671595410641717,0.1328404589358283,1.3668196783753483,118.62709529068006,118.62709529068006,1.0,0.19382977485656738
ALNS-IRP,1120.4976025301435,0.863264551632183,0.13673544836781704,1.4848180792523331,118.74204697458775,118.74204697458775,1.0,0.722689151763916
MILP,402.0222222222222,0.9694893021197452,0.030510697880254806,1.0807802874267616,0.0,0.0,1.0,3.2788867950439453
