algorithm,avg_cost_per_step,avg_fill_rate,avg_stockout_rate,avg_bullwhip_cv,avg_transport_per_step,avg_route_distance_per_step,routing_feasible_rate,runtime_sec
BaseStock,1903.7555555555555,0.6765297898607185,0.3234702101392815,2.260670828163,0.0,0.0,1.0,0.03154420852661133
"(s,S)",2113.0444444444443,0.633663331041261,0.3663366689587389,2.6144803318180716,0.0,0.0,1.0,0.02952861785888672
BaseStock+Savings,1971.9862426636791,0.6765297898607185,0.3234702101392815,2.260670828163,68.23068710812352,68.23068710812352,1.0,0.03899192810058594
"(s,S)+Savings",2154.8040685985366,0.633663331041261,0.3663366689587389,2.6144803318180716,41.75962415409242,41.75962415409242,1.0,0.04108452796936035
BaseStock+Savings2Opt,1971.9862426636791,0.6765297898607185,0.3234702101392815,2.260670828163,68.23068710812352,68.23068710812352,1.0,0.03813529014587402
"(s,S)+Savings2Opt",2154.8040685985366,0.633663331041261,0.3663366689587389,2.6144803318180716,41.75962415409242,41.75962415409242,1.0,0.0395350456237793
BaseStock+NearestInsertion,1971.9862426636791,0.6765297898607185,0.3234702101392815,2.260670828163,68.23068710812352,68.23068710812352,1.0,0.03769111633300781
"(s,S)+NearestInsertion",2154.8040685985366,0.633663331041261,0.3663366689587389,2.6144803318180716,41.75962415409242,41.75962415409242,1.0,0.03725147247314453
BaseStock+GARouting,1971.9862426636791,0.6765297898607185,0.3234702101392815,2.260670828163,68.23068710812352,68.23068710812352,1.0,6.106518507003784
"(s,S)+GARouting",2154.8040685985366,0.633663331041261,0.3663366689587389,2.6144803318180716,41.75962415409242,41.75962415409242,1.0,4.202835559844971
GAInventory+Savings,835.3911946656114,0.9445694674137002,0.05543053258629982,1.3254241159251607,118.94675022116701,118.94675022116701,1.0,0.6615557670593262
GAInventory+Savings2Opt,835.3911946656114,0.9445694674137002,0.05543053258629982,1.3254241159251607,118.94675022116701,118.94675022116701,1.0,0.6257426738739014
ALNSInventory+Savings,1054.0048730684578,0.9209312158121223,0.0790687841878777,1.5719999002715885,112.96042862401339,112.96042862401339,1.0,0.19495749473571777
ALNSInventory+Savings2Opt,1054.0048730684578,0.9209312158121223,0.0790687841878777,1.5719999002715885,112.96042862401339,112.96042862401339,1.0,0.1937243938446045
ALNS-IRP,1070.0373644576214,0.9250662167968112,0.07493378320318882,1.5190239957238443,115.6818089020657,115.6818089020657,1.0,0.689678430557251
MILP,584.0111111111111,0.9921750893989669,0.00782491060103315,1.185430160039235,0.0,0.0,1.0,3.286987543106079
