algorithm,avg_cost_per_step,avg_fill_rate,avg_stockout_rate,avg_bullwhip_cv,avg_transport_per_step,avg_route_distance_per_step,routing_feasible_rate,runtime_sec
BaseStock,985.0777777777779,0.7441155310637585,0.25588446893624156,8.322972094266648,0.0,0.0,1.0,0.022182941436767578
"(s,S)",1067.311111111111,0.7158598671081607,0.2841401328918392,9.668289676744466,0.0,0.0,1.0,0.023561716079711914
BaseStock+Savings,1038.8263530095974,0.7441155310637585,0.25588446893624156,8.322972094266648,53.74857523181958,53.74857523181958,1.0,0.028348922729492188
"(s,S)+Savings",1109.6429678522322,0.7158598671081607,0.2841401328918392,9.668289676744466,42.33185674112102,42.33185674112102,1.0,0.025650739669799805
BaseStock+Savings2Opt,1038.8263530095974,0.7441155310637585,0.25588446893624156,8.322972094266648,53.74857523181958,53.74857523181958,1.0,0.0309908390045166
"(s,S)+Savings2Opt",1109.6429678522322,0.7158598671081607,0.2841401328918392,9.668289676744466,42.33185674112102,42.33185674112102,1.0,0.030284643173217773
BaseStock+NearestInsertion,1038.8263530095974,0.7441155310637585,0.25588446893624156,8.322972094266648,53.74857523181958,53.74857523181958,1.0,0.033661603927612305
"(s,S)+NearestInsertion",1109.6429678522322,0.7158598671081607,0.2841401328918392,9.668289676744466,42.33185674112102,42.33185674112102,1.0,0.035903215408325195
BaseStock+GARouting,1038.8263530095974,0.7441155310637585,0.25588446893624156,8.322972094266648,53.74857523181958,53.74857523181958,1.0,5.3162150382995605
"(s,S)+GARouting",1109.6429678522322,0.7158598671081607,0.2841401328918392,9.668289676744466,42.33185674112102,42.33185674112102,1.0,3.544724464416504
GAInventory+Savings,937.2146901688948,0.9931844985525755,0.006815501447424414,3.9079180827241715,115.71469016889495,115.71469016889495,1.0,0.6706802845001221
GAInventory+Savings2Opt,937.2146901688948,0.9931844985525755,0.006815501447424414,3.9079180827241715,115.71469016889495,115.71469016889495,1.0,0.6313595771789551
ALNSInventory+Savings,976.0313464707551,0.9648338474156617,0.03516615258433838,3.4229835151872554,107.14245758186632,107.14245758186632,1.0,0.20170354843139648
ALNSInventory+Savings2Opt,976.0313464707551,0.9648338474156617,0.03516615258433838,3.4229835151872554,107.14245758186632,107.14245758186632,1.0,0.20015501976013184
ALNS-IRP,898.6842932753499,0.9578392501999103,0.04216074980008966,2.985446099378283,100.83984883090551,100.83984883090551,1.0,0.6941525936126709
MILP,617.4,0.9956114376946402,0.004388562305359815,2.0549779405218307,0.0,0.0,1.0,3.225738286972046
IQL,1164.3775541275545,0.922228958331624,0.0777710416683759,2.555148177167796,0.0,0.0,1.0,63.14284324645996
QMIX,884.3555741846066,0.9608795417482973,0.039120458251702704,0.8945433625475782,0.0,0.0,1.0,63.04910135269165
MAPPO,1298.3292929292932,0.9313791721114861,0.06862082788851387,0.003132842983237435,0.0,0.0,1.0,139.31214141845703
IQL-GNN,1281.4863024232216,0.8935737744227703,0.10642622557722962,2.1760423167212606,0.0,0.0,1.0,82.14440131187439
QMIX-GNN,1212.1135890543146,0.8936943261803604,0.10630567381963962,5.1012273903724,0.0,0.0,1.0,85.45553708076477
MAPPO-GNN,1484.6930998540756,0.948440761427659,0.05155923857234098,0.0,0.0,0.0,1.0,148.29991555213928
