algorithm,episode,rl_mean_action,rl_std_action,rl_zero_action_rate,rl_max_action_rate,rl_invalid_action_count,exec_mean_action,exec_std_action,exec_zero_action_rate,exec_max_action_rate,exec_invalid_action_count,env_mean_order_qty,env_std_order_qty,env_zero_order_rate,env_max_order_rate,rl_per_node_mean_action,rl_per_node_std_action,rl_per_layer_mean_action,exec_per_node_mean_action,exec_per_node_std_action,exec_per_layer_mean_action,env_per_node_mean_order_qty,env_per_node_std_order_qty,env_per_layer_mean_order_qty
IQL,1,15.433333333333334,8.989767846052862,0.03833333333333333,0.041666666666666664,0,15.433333333333334,8.989767846052862,0.03833333333333333,0.041666666666666664,0,15.433333333333334,8.989767846052862,0.044444444444444446,0.025925925925925925,13.3667;14.5;18.1;12.9667;14.2333;17.5667;15.5333;16.0667;16.5667,7.76094;9.12414;8.97162;8.97212;9.02102;7.81317;9.24746;9.10287;9.27607,13.9333;15.1;16.4333,13.3667;14.5;18.1;12.9667;14.2333;17.5667;15.5333;16.0667;16.5667,7.76094;9.12414;8.97162;8.97212;9.02102;7.81317;9.24746;9.10287;9.27607,13.9333;15.1;16.4333,13.3667;14.5;18.1;12.9667;14.2333;17.5667;15.5333;16.0667;16.5667,7.76094;9.12414;8.97162;8.97212;9.02102;7.81317;9.24746;9.10287;9.27607,13.9333;15.1;16.4333
IQL,2,15.362962962962962,9.053427758800169,0.03833333333333333,0.03166666666666667,0,15.362962962962962,9.053427758800169,0.03833333333333333,0.03166666666666667,0,15.362962962962962,9.053427758800169,0.025925925925925925,0.03333333333333333,14.8333;14.1667;15.3333;18.7;15.2;12.8667;16.3;15.3333;15.5333,9.23069;8.331;7.92184;8.71837;9.76183;8.92462;9.31719;9.6448;8.3376,14.5;16.4111;15.0083,14.8333;14.1667;15.3333;18.7;15.2;12.8667;16.3;15.3333;15.5333,9.23069;8.331;7.92184;8.71837;9.76183;8.92462;9.31719;9.6448;8.3376,14.5;16.4111;15.0083,14.8333;14.1667;15.3333;18.7;15.2;12.8667;16.3;15.3333;15.5333,9.23069;8.331;7.92184;8.71837;9.76183;8.92462;9.31719;9.6448;8.3376,14.5;16.4111;15.0083
QMIX,1,15.233333333333333,8.843976816225036,0.023333333333333334,0.043333333333333335,0,15.233333333333333,8.843976816225036,0.023333333333333334,0.043333333333333335,0,15.233333333333333,8.843976816225036,0.022222222222222223,0.03333333333333333,12.9667;16.3;12.9333;15.5;16.3;15.0333;13.9;14.8;19.3667,8.3246;9.94367;9.20483;8.93215;8.97459;7.91405;7.93872;8.60775;7.68758,14.6333;14.9111;15.775,12.9667;16.3;12.9333;15.5;16.3;15.0333;13.9;14.8;19.3667,8.3246;9.94367;9.20483;8.93215;8.97459;7.91405;7.93872;8.60775;7.68758,14.6333;14.9111;15.775,12.9667;16.3;12.9333;15.5;16.3;15.0333;13.9;14.8;19.3667,8.3246;9.94367;9.20483;8.93215;8.97459;7.91405;7.93872;8.60775;7.68758,14.6333;14.9111;15.775
QMIX,2,15.14074074074074,9.145055707635006,0.03166666666666667,0.03166666666666667,0,15.14074074074074,9.145055707635006,0.03166666666666667,0.03166666666666667,0,15.14074074074074,9.145055707635006,0.037037037037037035,0.040740740740740744,16.5667;17.2333;12.4667;14.6;17.1;15.3667;14.2;13.7667;14.9667,10.503;9.76621;8.03216;10.0717;7.34552;7.96025;9.17388;8.95054;8.8825,16.9;14.7222;14.575,16.5667;17.2333;12.4667;14.6;17.1;15.3667;14.2;13.7667;14.9667,10.503;9.76621;8.03216;10.0717;7.34552;7.96025;9.17388;8.95054;8.8825,16.9;14.7222;14.575,16.5667;17.2333;12.4667;14.6;17.1;15.3667;14.2;13.7667;14.9667,10.503;9.76621;8.03216;10.0717;7.34552;7.96025;9.17388;8.95054;8.8825,16.9;14.7222;14.575
MAPPO,1,14.440740740740742,8.674473375380897,0.03333333333333333,0.025,0,14.440740740740742,8.674473375380897,0.03333333333333333,0.025,0,14.440740740740742,8.674473375380897,0.018518518518518517,0.018518518518518517,15.8;14.5667;15.6667;15.1;13.1333;14.3333;12.8333;13.5667;14.9667,9.43539;9.02841;8.21516;7.52485;8.09005;9.00494;8.65673;8.5817;8.84867,15.1833;14.6333;13.925,15.8;14.5667;15.6667;15.1;13.1333;14.3333;12.8333;13.5667;14.9667,9.43539;9.02841;8.21516;7.52485;8.09005;9.00494;8.65673;8.5817;8.84867,15.1833;14.6333;13.925,15.8;14.5667;15.6667;15.1;13.1333;14.3333;12.8333;13.5667;14.9667,9.43539;9.02841;8.21516;7.52485;8.09005;9.00494;8.65673;8.5817;8.84867,15.1833;14.6333;13.925
MAPPO,2,14.41851851851852,8.741071086036227,0.03833333333333333,0.028333333333333332,0,14.41851851851852,8.741071086036227,0.03833333333333333,0.028333333333333332,0,14.41851851851852,8.741071086036227,0.04814814814814815,0.02962962962962963,10.6;16.7333;15.9333;17.1;13.4;14.0667;14.2333;13.7;14,8.43248;7.46964;9.76706;8.49843;9.7591;8.39021;7.78753;7.86193;8.58681,13.6667;15.4778;14,10.6;16.7333;15.9333;17.1;13.4;14.0667;14.2333;13.7;14,8.43248;7.46964;9.76706;8.49843;9.7591;8.39021;7.78753;7.86193;8.58681,13.6667;15.4778;14,10.6;16.7333;15.9333;17.1;13.4;14.0667;14.2333;13.7;14,8.43248;7.46964;9.76706;8.49843;9.7591;8.39021;7.78753;7.86193;8.58681,13.6667;15.4778;14
IQL-GNN,1,14.577777777777778,9.442195810742067,0.02666666666666667,0.05333333333333334,0,14.577777777777778,9.442195810742067,0.02666666666666667,0.05333333333333334,0,14.577777777777778,9.442195810742067,0.044444444444444446,0.05925925925925926,14.6333;13.8667;15.0333;15.6333;16.6333;11.5667;17.1667;13.6333;13.0333,10.5877;8.94328;9.28613;8.79956;8.72347;9.05422;8.35098;10.1472;9.5271,14.25;15.7667;13.85,14.6333;13.8667;15.0333;15.6333;16.6333;11.5667;17.1667;13.6333;13.0333,10.5877;8.94328;9.28613;8.79956;8.72347;9.05422;8.35098;10.1472;9.5271,14.25;15.7667;13.85,14.6333;13.8667;15.0333;15.6333;16.6333;11.5667;17.1667;13.6333;13.0333,10.5877;8.94328;9.28613;8.79956;8.72347;9.05422;8.35098;10.1472;9.5271,14.25;15.7667;13.85
IQL-GNN,2,15.540740740740741,8.818551962230671,0.025,0.025,0,15.540740740740741,8.818551962230671,0.025,0.025,0,15.540740740740741,8.818551962230671,0.02962962962962963,0.02962962962962963,13.7;19.4333;15.5;12.8667;14.4;18.7333;15.7333;15.2;14.3,8.05874;8.26512;9.14239;7.97803;10.2;7.19691;8.64459;8.99037;8.31525,16.5667;14.2556;15.9917,13.7;19.4333;15.5;12.8667;14.4;18.7333;15.7333;15.2;14.3,8.05874;8.26512;9.14239;7.97803;10.2;7.19691;8.64459;8.99037;8.31525,16.5667;14.2556;15.9917,13.7;19.4333;15.5;12.8667;14.4;18.7333;15.7333;15.2;14.3,8.05874;8.26512;9.14239;7.97803;10.2;7.19691;8.64459;8.99037;8.31525,16.5667;14.2556;15.9917
QMIX-GNN,1,14.377777777777778,9.169083856385658,0.03333333333333333,0.03,0,14.377777777777778,9.169083856385658,0.03333333333333333,0.03,0,14.377777777777778,9.169083856385658,0.044444444444444446,0.03333333333333333,13.0333;14.3333;17.3333;15.7667;15.7;13.9667;13.6667;16.4;9.2,8.29652;9.11897;9.82966;8.36932;9.1183;8.71965;8.8481;9.40425;8.14207,13.6833;16.2667;13.3083,13.0333;14.3333;17.3333;15.7667;15.7;13.9667;13.6667;16.4;9.2,8.29652;9.11897;9.82966;8.36932;9.1183;8.71965;8.8481;9.40425;8.14207,13.6833;16.2667;13.3083,13.0333;14.3333;17.3333;15.7667;15.7;13.9667;13.6667;16.4;9.2,8.29652;9.11897;9.82966;8.36932;9.1183;8.71965;8.8481;9.40425;8.14207,13.6833;16.2667;13.3083
QMIX-GNN,2,15.244444444444444,8.829635843895401,0.03833333333333333,0.02666666666666667,0,15.244444444444444,8.829635843895401,0.03833333333333333,0.02666666666666667,0,15.244444444444444,8.829635843895401,0.040740740740740744,0.022222222222222223,15.4667;17.8333;11.1;13.6333;14.5;16.7;15.6333;18;14.3333,8.11884;8.13668;8.20711;9.08656;8.99166;8.39107;9.54807;8.37854;8.31999,16.65;13.0778;16.1667,15.4667;17.8333;11.1;13.6333;14.5;16.7;15.6333;18;14.3333,8.11884;8.13668;8.20711;9.08656;8.99166;8.39107;9.54807;8.37854;8.31999,16.65;13.0778;16.1667,15.4667;17.8333;11.1;13.6333;14.5;16.7;15.6333;18;14.3333,8.11884;8.13668;8.20711;9.08656;8.99166;8.39107;9.54807;8.37854;8.31999,16.65;13.0778;16.1667
