algorithm,episode,global_step,episode_reward_sum,episode_reward_mean_per_step,episode_length,update_count,epsilon,buffer_size,loss,policy_loss,value_loss,entropy,avg_cost_per_step,avg_weighted_total_cost_per_step,avg_inventory_cost_per_step,avg_routing_cost_per_step,transport_weight,total_inventory_cost,total_transport,routing_cost,avg_transport_per_step,avg_route_distance_per_step,routing_feasible_rate,avg_fill_rate,avg_stockout_rate,avg_bullwhip_cv,total_holding,total_backlog,avg_pipeline,weighted_total_cost
IQL,1,30,-33.21151485690604,-1.1070504952302014,30,0,0.9968333333333333,30,,,,,961.7764863767043,961.7764863767043,961.7764863767043,0.0,0.0,28853.294591301128,0.0,0.0,0.0,0.0,1.0,0.8960473058926085,0.1039526941073915,5.858171981372774,24985.553688533586,3867.740902767543,10.46859523809524,28853.294591301128
IQL,2,60,-0.5190436537541742,-0.01730145512513914,30,0,0.9936666666666667,60,,,,,806.042619141031,806.042619141031,806.042619141031,0.0,0.0,24181.278574230928,0.0,0.0,0.0,0.0,1.0,0.964516284706362,0.03548371529363803,4.828944890488909,22925.00740263083,1256.271171600098,10.820602723343432,24181.278574230928
QMIX,1,30,-9.364599572261586,-0.3121533190753862,30,0,0.9943,30,,,,,872.6914021127595,872.6914021127595,872.6914021127595,0.0,0.0,26180.742063382786,0.0,0.0,0.0,0.0,1.0,0.9573057751210109,0.04269422487898911,4.995388094954013,24549.802400284283,1630.9396630985036,11.024184136180292,26180.742063382786
QMIX,2,60,0.36980443578850863,0.012326814526283621,30,0,0.9886,60,,,,,889.2643399313745,889.2643399313745,889.2643399313745,0.0,0.0,26677.930197941234,0.0,0.0,0.0,0.0,1.0,0.9710553176689656,0.02894468233103442,4.425067551272678,25675.21175250901,1002.7184454322218,12.051829099714906,26677.930197941234
MAPPO,1,30,-15.02855018746183,-0.5009516729153943,30,0,,30,,,,,926.7291417605959,926.7291417605959,926.7291417605959,0.0,0.0,27801.874252817877,0.0,0.0,0.0,0.0,1.0,0.9370059958916422,0.06299400410835776,5.946716743074559,25616.087064085914,2185.7871887319625,11.145305036094511,27801.874252817877
MAPPO,2,60,-31.839105832893075,-1.0613035277631024,30,0,,60,,,,,933.7807033819845,933.7807033819845,933.7807033819845,0.0,0.0,28013.421101459535,0.0,0.0,0.0,0.0,1.0,0.9172238071032298,0.08277619289677018,4.015178465344588,23317.52121748271,4695.899883976824,10.733952218339953,28013.421101459535
IQL-GNN,1,30,-39.304001890299645,-1.3101333963433215,30,0,0.9968333333333333,30,,,,,1007.3846255753473,1007.3846255753473,1007.3846255753473,0.0,0.0,30221.53876726042,0.0,0.0,0.0,0.0,1.0,0.9017056863281021,0.09829431367189789,6.238892177066787,25306.11100770989,4915.427759550532,10.795205586942878,30221.53876726042
IQL-GNN,2,60,-0.5273281599968263,-0.017577605333227542,30,0,0.9936666666666667,60,,,,,881.246196034883,881.246196034883,881.246196034883,0.0,0.0,26437.38588104649,0.0,0.0,0.0,0.0,1.0,0.9677407241872686,0.03225927581273136,4.133654577103069,25171.559382914897,1265.826498131595,12.17133503229266,26437.38588104649
QMIX-GNN,1,30,-46.74174054675247,-1.5580580182250823,30,0,0.9943,30,,,,,1061.6542859281542,1061.6542859281542,1061.6542859281542,0.0,0.0,31849.62857784463,0.0,0.0,0.0,0.0,1.0,0.9123581715801766,0.08764182841982338,5.9401599392188285,26290.541567522432,5559.087010322198,10.663100203335548,31849.62857784463
QMIX-GNN,2,60,-1.4659122939245837,-0.048863743130819454,30,0,0.9886,60,,,,,856.1733485838273,856.1733485838273,856.1733485838273,0.0,0.0,25685.20045751482,0.0,0.0,0.0,0.0,1.0,0.9522851729652403,0.04771482703475971,4.352475379575332,24354.281551076798,1330.9189064380232,11.491740334456534,25685.20045751482
MAPPO-GNN,1,30,-7.842541988800077,-0.2614180662933359,30,0,,30,,,,,867.9477156695363,867.9477156695363,867.9477156695363,0.0,0.0,26038.43147008609,0.0,0.0,0.0,0.0,1.0,0.9564985069293418,0.043501493070658204,5.9138671472034074,24737.512502307116,1300.9189677789718,10.266064129107606,26038.43147008609
MAPPO-GNN,2,60,-14.42181911387229,-0.480727303795743,30,0,,60,,,,,916.2112125752177,916.2112125752177,916.2112125752177,0.0,0.0,27486.33637725653,0.0,0.0,0.0,0.0,1.0,0.962059416668566,0.03794058333143402,4.835611574065587,24876.645617516173,2609.6907597403583,10.973981331254574,27486.33637725653
