algorithm,cost_scope,transport_weight,avg_inventory_cost_per_step,avg_routing_cost_per_step,avg_weighted_total_cost_per_step,avg_cost_per_step,avg_fill_rate,avg_stockout_rate,avg_bullwhip_cv,max_bullwhip_cv,avg_order_mean,avg_order_std,avg_order_var,avg_demand_mean,avg_demand_std,avg_demand_var,min_demand_var,max_order_var,avg_transport_per_step,avg_route_distance_per_step,routing_feasible_rate,runtime_sec
BaseStock,inventory_only,0.0,1016.2333333333333,0.0,1016.2333333333333,1016.2333333333333,0.7220867458258279,0.2779132541741721,7.719212649409438,25.057664233576645,9.925925925925924,9.59185819956011,96.70543209876544,6.959259259259259,6.1232897102427675,47.524567901234576,6.088888888888889,164.35666666666665,0.0,0.0,1.0,0.010576009750366211
"(s,S)",inventory_only,0.0,1133.5333333333333,0.0,1133.5333333333333,1133.5333333333333,0.7048250860570087,0.29517491394299133,8.962546189994315,27.667153284671542,10.174074074074074,10.630991522780008,116.23716049382716,6.77037037037037,6.677505688761633,57.35802469135803,6.088888888888889,169.69333333333324,0.0,0.0,1.0,0.011560916900634766
BaseStock+Savings,inventory_plus_routing,0.25,1016.2333333333333,13.307764064044152,1029.5410973973774,1029.5410973973774,0.7220867458258279,0.2779132541741721,7.719212649409438,25.057664233576645,9.925925925925924,9.59185819956011,96.70543209876544,6.959259259259259,6.1232897102427675,47.524567901234576,6.088888888888889,164.35666666666665,13.307764064044152,53.23105625617661,1.0,0.014797687530517578
"(s,S)+Savings",inventory_plus_routing,0.25,1133.5333333333333,11.183395522171596,1144.716728855505,1144.716728855505,0.7048250860570087,0.29517491394299133,8.962546189994315,27.667153284671542,10.174074074074074,10.630991522780008,116.23716049382716,6.77037037037037,6.677505688761633,57.35802469135803,6.088888888888889,169.69333333333324,11.183395522171596,44.73358208868638,1.0,0.01499032974243164
BaseStock+Savings2Opt,inventory_plus_routing,0.25,1016.2333333333333,13.307764064044152,1029.5410973973774,1029.5410973973774,0.7220867458258279,0.2779132541741721,7.719212649409438,25.057664233576645,9.925925925925924,9.59185819956011,96.70543209876544,6.959259259259259,6.1232897102427675,47.524567901234576,6.088888888888889,164.35666666666665,13.307764064044152,53.23105625617661,1.0,0.01972484588623047
"(s,S)+Savings2Opt",inventory_plus_routing,0.25,1133.5333333333333,11.183395522171596,1144.716728855505,1144.716728855505,0.7048250860570087,0.29517491394299133,8.962546189994315,27.667153284671542,10.174074074074074,10.630991522780008,116.23716049382716,6.77037037037037,6.677505688761633,57.35802469135803,6.088888888888889,169.69333333333324,11.183395522171596,44.73358208868638,1.0,0.014717817306518555
BaseStock+NearestInsertion,inventory_plus_routing,0.25,1016.2333333333333,13.307764064044152,1029.5410973973774,1029.5410973973774,0.7220867458258279,0.2779132541741721,7.719212649409438,25.057664233576645,9.925925925925924,9.59185819956011,96.70543209876544,6.959259259259259,6.1232897102427675,47.524567901234576,6.088888888888889,164.35666666666665,13.307764064044152,53.23105625617661,1.0,0.014036178588867188
"(s,S)+NearestInsertion",inventory_plus_routing,0.25,1133.5333333333333,11.183395522171596,1144.716728855505,1144.716728855505,0.7048250860570087,0.29517491394299133,8.962546189994315,27.667153284671542,10.174074074074074,10.630991522780008,116.23716049382716,6.77037037037037,6.677505688761633,57.35802469135803,6.088888888888889,169.69333333333324,11.183395522171596,44.73358208868638,1.0,0.011536598205566406
BaseStock+GARouting,inventory_plus_routing,0.25,1016.2333333333333,13.307764064044152,1029.5410973973774,1029.5410973973774,0.7220867458258279,0.2779132541741721,7.719212649409438,25.057664233576645,9.925925925925924,9.59185819956011,96.70543209876544,6.959259259259259,6.1232897102427675,47.524567901234576,6.088888888888889,164.35666666666665,13.307764064044152,53.23105625617661,1.0,1.8521153926849365
"(s,S)+GARouting",inventory_plus_routing,0.25,1133.5333333333333,11.183395522171596,1144.716728855505,1144.716728855505,0.7048250860570087,0.29517491394299133,8.962546189994315,27.667153284671542,10.174074074074074,10.630991522780008,116.23716049382716,6.77037037037037,6.677505688761633,57.35802469135803,6.088888888888889,169.69333333333324,11.183395522171596,44.73358208868638,1.0,1.6691482067108154
GAInventory+Savings,inventory_plus_routing,0.25,775.0333333333333,26.62929881794798,801.6626321512813,801.6626321512813,0.9655567009673116,0.03444329903268839,4.646054027167342,14.545437956204381,14.644444444444442,8.918873616426273,79.77506172839507,11.948148148148146,7.982656291716754,90.53950617283948,6.088888888888889,92.3288888888889,26.62929881794798,106.51719527179192,1.0,0.04603099822998047
GAInventory+Savings2Opt,inventory_plus_routing,0.25,775.0333333333333,26.62929881794798,801.6626321512813,801.6626321512813,0.9655567009673116,0.03444329903268839,4.646054027167342,14.545437956204381,14.644444444444442,8.918873616426273,79.77506172839507,11.948148148148146,7.982656291716754,90.53950617283948,6.088888888888889,92.3288888888889,26.62929881794798,106.51719527179192,1.0,0.044922590255737305
ALNSInventory+Savings,inventory_plus_routing,0.25,834.2,28.03156333662753,862.2315633366275,862.2315633366275,0.9660982707077479,0.0339017292922521,3.2561288802449564,6.821009688934214,10.044444444444444,7.490382942213362,74.23654320987652,9.662962962962961,4.190597504562005,21.14456790123457,6.088888888888889,221.0,28.03156333662753,112.12625334651013,1.0,0.04551267623901367
ALNSInventory+Savings2Opt,inventory_plus_routing,0.25,834.2,28.03156333662753,862.2315633366275,862.2315633366275,0.9660982707077479,0.0339017292922521,3.2561288802449564,6.821009688934214,10.044444444444444,7.490382942213362,74.23654320987652,9.662962962962961,4.190597504562005,21.14456790123457,6.088888888888889,221.0,28.03156333662753,112.12625334651013,1.0,0.031232118606567383
