algorithm,avg_cost_per_step,avg_fill_rate,avg_stockout_rate,avg_bullwhip_cv,avg_transport_per_step,avg_route_distance_per_step,routing_feasible_rate,runtime_sec
BaseStock,483.8333333333333,0.49116751327196206,0.5088324867280379,3.88634036962521,0.0,0.0,1.0,0.007872343063354492
"(s,S)",517.1666666666666,0.4677595635219171,0.5322404364780828,4.470445413828214,0.0,0.0,1.0,0.005506277084350586
BaseStock+Savings,504.6090580747181,0.49116751327196206,0.5088324867280379,3.88634036962521,20.775724741384845,20.775724741384845,1.0,0.008834123611450195
"(s,S)+Savings",535.1410973973775,0.4677595635219171,0.5322404364780828,4.470445413828214,17.974430730710818,17.974430730710818,1.0,0.008010625839233398
BaseStock+Savings2Opt,504.6090580747181,0.49116751327196206,0.5088324867280379,3.88634036962521,20.775724741384845,20.775724741384845,1.0,0.00859832763671875
"(s,S)+Savings2Opt",535.1410973973775,0.4677595635219171,0.5322404364780828,4.470445413828214,17.974430730710818,17.974430730710818,1.0,0.007576942443847656
BaseStock+NearestInsertion,504.6090580747181,0.49116751327196206,0.5088324867280379,3.88634036962521,20.775724741384845,20.775724741384845,1.0,0.00807952880859375
"(s,S)+NearestInsertion",535.1410973973775,0.4677595635219171,0.5322404364780828,4.470445413828214,17.974430730710818,17.974430730710818,1.0,0.0076141357421875
BaseStock+GARouting,504.6090580747181,0.49116751327196206,0.5088324867280379,3.88634036962521,20.775724741384845,20.775724741384845,1.0,0.716132402420044
"(s,S)+GARouting",535.1410973973775,0.4677595635219171,0.5322404364780828,4.470445413828214,17.974430730710818,17.974430730710818,1.0,0.6818225383758545
GAInventory+Savings,205.41559031692657,0.872111772343671,0.127888227656329,2.9103755926851074,50.5489236502599,50.5489236502599,1.0,0.031412363052368164
GAInventory+Savings2Opt,205.41559031692657,0.872111772343671,0.127888227656329,2.9103755926851074,50.5489236502599,50.5489236502599,1.0,0.040838003158569336
ALNSInventory+Savings,209.19636672333098,0.8928924573440383,0.10710754265596167,2.630976187243187,55.32970005666433,55.32970005666433,1.0,0.022600173950195312
ALNSInventory+Savings2Opt,209.19636672333098,0.8928924573440383,0.10710754265596167,2.630976187243187,55.32970005666433,55.32970005666433,1.0,0.026474475860595703
ALNS-IRP,173.9284060459903,0.8760578379351296,0.12394216206487041,2.032190629927519,49.86173937932362,49.86173937932362,1.0,0.05429577827453613
