algorithm,episode,rl_mean_action,rl_std_action,rl_zero_action_rate,rl_max_action_rate,rl_invalid_action_count,exec_mean_action,exec_std_action,exec_zero_action_rate,exec_max_action_rate,exec_invalid_action_count,env_mean_order_qty,env_std_order_qty,env_zero_order_rate,env_max_order_rate,rl_per_node_mean_action,rl_per_node_std_action,rl_per_layer_mean_action,exec_per_node_mean_action,exec_per_node_std_action,exec_per_layer_mean_action,env_per_node_mean_order_qty,env_per_node_std_order_qty,env_per_layer_mean_order_qty
IQL,1,14.722222222222221,9.108841180650861,0.03666666666666667,0.023333333333333334,0,14.722222222222221,9.108841180650861,0.03666666666666667,0.023333333333333334,0,14.722222222222221,9.108841180650861,0.03333333333333333,0.025925925925925925,14.4667;16;14.2;17.0333;12.6667;16.9333;14.7333;12.1333;14.3333,10.385;7.87824;10.483;8.52245;8.37987;8.53203;8.70606;9.09481;8.336,15.2333;14.6333;14.5333,14.4667;16;14.2;17.0333;12.6667;16.9333;14.7333;12.1333;14.3333,10.385;7.87824;10.483;8.52245;8.37987;8.53203;8.70606;9.09481;8.336,15.2333;14.6333;14.5333,14.4667;16;14.2;17.0333;12.6667;16.9333;14.7333;12.1333;14.3333,10.385;7.87824;10.483;8.52245;8.37987;8.53203;8.70606;9.09481;8.336,15.2333;14.6333;14.5333
IQL,2,14.64074074074074,9.408064281528757,0.056666666666666664,0.025,0,14.64074074074074,9.408064281528757,0.056666666666666664,0.025,0,14.64074074074074,9.408064281528757,0.06666666666666667,0.02962962962962963,16.2667;11.0667;15.2333;13.3667;15.2333;14.1667;15.9;15.1;15.4333,8.70223;9.8959;8.60497;9.30764;9.03579;9.91323;9.5894;9.33577;9.10195,13.6667;14.6111;15.15,16.2667;11.0667;15.2333;13.3667;15.2333;14.1667;15.9;15.1;15.4333,8.70223;9.8959;8.60497;9.30764;9.03579;9.91323;9.5894;9.33577;9.10195,13.6667;14.6111;15.15,16.2667;11.0667;15.2333;13.3667;15.2333;14.1667;15.9;15.1;15.4333,8.70223;9.8959;8.60497;9.30764;9.03579;9.91323;9.5894;9.33577;9.10195,13.6667;14.6111;15.15
QMIX,1,14.944444444444445,8.89489380501359,0.028333333333333332,0.035,0,14.944444444444445,8.89489380501359,0.028333333333333332,0.035,0,14.944444444444445,8.89489380501359,0.040740740740740744,0.02962962962962963,16.4667;14.2667;13.5667;14.1;15.7;16.3;13.4;14.7333;15.9667,9.33714;8.6984;8.63977;9.10073;9.85275;9.11464;8.96883;7.94956;7.52987,15.3667;14.4556;15.1,16.4667;14.2667;13.5667;14.1;15.7;16.3;13.4;14.7333;15.9667,9.33714;8.6984;8.63977;9.10073;9.85275;9.11464;8.96883;7.94956;7.52987,15.3667;14.4556;15.1,16.4667;14.2667;13.5667;14.1;15.7;16.3;13.4;14.7333;15.9667,9.33714;8.6984;8.63977;9.10073;9.85275;9.11464;8.96883;7.94956;7.52987,15.3667;14.4556;15.1
QMIX,2,15.277777777777779,9.280039644444905,0.035,0.03666666666666667,0,15.277777777777779,9.280039644444905,0.035,0.03666666666666667,0,15.277777777777779,9.280039644444905,0.040740740740740744,0.040740740740740744,14.8333;17.1;16.4;14.8333;17.9667;12.5667;13.6667;17.2;12.9333,8.83208;10.209;9.1637;9.01141;8.03112;9.1858;9.26043;9.7379;8.17693,15.9667;16.4;14.0917,14.8333;17.1;16.4;14.8333;17.9667;12.5667;13.6667;17.2;12.9333,8.83208;10.209;9.1637;9.01141;8.03112;9.1858;9.26043;9.7379;8.17693,15.9667;16.4;14.0917,14.8333;17.1;16.4;14.8333;17.9667;12.5667;13.6667;17.2;12.9333,8.83208;10.209;9.1637;9.01141;8.03112;9.1858;9.26043;9.7379;8.17693,15.9667;16.4;14.0917
MAPPO,1,14.011111111111111,8.720976556485256,0.03333333333333333,0.03333333333333333,0,14.011111111111111,8.720976556485256,0.03333333333333333,0.03333333333333333,0,14.011111111111111,8.720976556485256,0.03333333333333333,0.03333333333333333,12.7667;15.4;14.7667;11.9333;13.9;13.6667;12.2;16.4667;15,8.55836;8.44433;8.63591;8.6984;7.63915;9.08601;8.03077;8.11062;9.98666,14.0833;13.5333;14.3333,12.7667;15.4;14.7667;11.9333;13.9;13.6667;12.2;16.4667;15,8.55836;8.44433;8.63591;8.6984;7.63915;9.08601;8.03077;8.11062;9.98666,14.0833;13.5333;14.3333,12.7667;15.4;14.7667;11.9333;13.9;13.6667;12.2;16.4667;15,8.55836;8.44433;8.63591;8.6984;7.63915;9.08601;8.03077;8.11062;9.98666,14.0833;13.5333;14.3333
MAPPO,2,15.27037037037037,8.654534876982117,0.03333333333333333,0.03166666666666667,0,15.27037037037037,8.654534876982117,0.03333333333333333,0.03166666666666667,0,15.27037037037037,8.654534876982117,0.018518518518518517,0.02962962962962963,15.7667;16.2667;13.7667;15.7333;14.3;16.7333;16.2333;15.6;13.0333,9.03579;8.23381;9.21478;8.3424;9.25977;8.00389;9.58361;8.01083;7.17627,16.0167;14.6;15.4,15.7667;16.2667;13.7667;15.7333;14.3;16.7333;16.2333;15.6;13.0333,9.03579;8.23381;9.21478;8.3424;9.25977;8.00389;9.58361;8.01083;7.17627,16.0167;14.6;15.4,15.7667;16.2667;13.7667;15.7333;14.3;16.7333;16.2333;15.6;13.0333,9.03579;8.23381;9.21478;8.3424;9.25977;8.00389;9.58361;8.01083;7.17627,16.0167;14.6;15.4
IQL-GNN,1,14.066666666666666,8.791578461906136,0.025,0.028333333333333332,0,14.066666666666666,8.791578461906136,0.025,0.028333333333333332,0,14.066666666666666,8.791578461906136,0.03333333333333333,0.022222222222222223,12.4667;15.5;13.4667;14;15.9667;13.2333;13.6;12.6;15.7667,8.92836;8.93961;9.00642;8.24217;7.87605;8.75474;10.2976;8.20813;7.76609,13.9833;14.4778;13.8,12.4667;15.5;13.4667;14;15.9667;13.2333;13.6;12.6;15.7667,8.92836;8.93961;9.00642;8.24217;7.87605;8.75474;10.2976;8.20813;7.76609,13.9833;14.4778;13.8,12.4667;15.5;13.4667;14;15.9667;13.2333;13.6;12.6;15.7667,8.92836;8.93961;9.00642;8.24217;7.87605;8.75474;10.2976;8.20813;7.76609,13.9833;14.4778;13.8
IQL-GNN,2,15.477777777777778,9.079355228099883,0.025,0.04666666666666667,0,15.477777777777778,9.079355228099883,0.025,0.04666666666666667,0,15.477777777777778,9.079355228099883,0.018518518518518517,0.05555555555555555,11.9333;18.3667;16.6;16.6333;14.8;15.2;15.4;13.7667;16.6,8.79747;9.8064;8.08538;7.16698;8.80682;9.62774;8.89419;8.67058;9.94183,15.15;16.0111;15.2417,11.9333;18.3667;16.6;16.6333;14.8;15.2;15.4;13.7667;16.6,8.79747;9.8064;8.08538;7.16698;8.80682;9.62774;8.89419;8.67058;9.94183,15.15;16.0111;15.2417,11.9333;18.3667;16.6;16.6333;14.8;15.2;15.4;13.7667;16.6,8.79747;9.8064;8.08538;7.16698;8.80682;9.62774;8.89419;8.67058;9.94183,15.15;16.0111;15.2417
QMIX-GNN,1,14.777777777777779,9.076356477881435,0.04,0.021666666666666667,0,14.777777777777779,9.076356477881435,0.04,0.021666666666666667,0,14.777777777777779,9.076356477881435,0.040740740740740744,0.03333333333333333,14.4667;14.2667;16.0333;15.2333;14.3333;15.1667;13.6333;15.1333;14.7333,9.63927;9.0772;8.25624;7.96946;8.58811;9.05937;9.12682;9.45774;10.096,14.3667;15.2;14.6667,14.4667;14.2667;16.0333;15.2333;14.3333;15.1667;13.6333;15.1333;14.7333,9.63927;9.0772;8.25624;7.96946;8.58811;9.05937;9.12682;9.45774;10.096,14.3667;15.2;14.6667,14.4667;14.2667;16.0333;15.2333;14.3333;15.1667;13.6333;15.1333;14.7333,9.63927;9.0772;8.25624;7.96946;8.58811;9.05937;9.12682;9.45774;10.096,14.3667;15.2;14.6667
QMIX-GNN,2,14.74074074074074,9.076190229437282,0.028333333333333332,0.035,0,14.74074074074074,9.076190229437282,0.028333333333333332,0.035,0,14.74074074074074,9.076190229437282,0.02962962962962963,0.04814814814814815,17.2;12.0667;15.9;14.4667;14.2333;13.3333;15.4667;15.9;14.1,9.23183;8.2419;9.30717;9.16418;10.4584;7.93445;9.10214;8.32406;8.60368,14.6333;14.8667;14.7,17.2;12.0667;15.9;14.4667;14.2333;13.3333;15.4667;15.9;14.1,9.23183;8.2419;9.30717;9.16418;10.4584;7.93445;9.10214;8.32406;8.60368,14.6333;14.8667;14.7,17.2;12.0667;15.9;14.4667;14.2333;13.3333;15.4667;15.9;14.1,9.23183;8.2419;9.30717;9.16418;10.4584;7.93445;9.10214;8.32406;8.60368,14.6333;14.8667;14.7
