algorithm,episode,global_step,episode_reward_sum,episode_reward_mean_per_step,episode_length,update_count,epsilon,buffer_size,loss,policy_loss,value_loss,entropy,avg_cost_per_step,avg_weighted_total_cost_per_step,avg_inventory_cost_per_step,avg_routing_cost_per_step,transport_weight,total_inventory_cost,total_transport,routing_cost,avg_transport_per_step,avg_route_distance_per_step,routing_feasible_rate,avg_fill_rate,avg_stockout_rate,avg_bullwhip_cv,total_holding,total_backlog,avg_pipeline,weighted_total_cost
IQL,1,30,-3.7848455105154315,-0.12616151701718106,30,0,0.9968333333333333,30,,,,,911.9204360269752,911.9204360269752,911.9204360269752,0.0,0.0,27357.613080809253,0.0,0.0,0.0,0.0,1.0,0.958764015819521,0.041235984180479024,5.813836376664259,26049.756284547882,1307.8567962613695,11.34994301994302,27357.613080809253
IQL,2,60,-40.34932873996644,-1.344977624665548,30,0,0.9936666666666667,60,,,,,903.8106317284911,903.8106317284911,903.8106317284911,0.0,0.0,27114.318951854733,0.0,0.0,0.0,0.0,1.0,0.8960270773655623,0.10397292263443769,5.205749517544145,21383.893131303907,5730.425820550828,9.972502552677991,27114.318951854733
QMIX,1,30,-13.495562242581233,-0.4498520747527078,30,0,0.9943,30,,,,,927.3265184550395,927.3265184550395,927.3265184550395,0.0,0.0,27819.795553651184,0.0,0.0,0.0,0.0,1.0,0.9348723187736524,0.0651276812263476,5.888658410339742,25515.684176469367,2304.1113771818177,11.25680653522614,27819.795553651184
QMIX,2,60,-9.11810745508701,-0.303936915169567,30,0,0.9886,60,,,,,911.4720106732228,911.4720106732228,911.4720106732228,0.0,0.0,27344.160320196686,0.0,0.0,0.0,0.0,1.0,0.9267914907824568,0.07320850921754318,4.869396587590984,25114.480290690706,2229.6800295059807,11.80617225018674,27344.160320196686
MAPPO,1,30,-4.733193974203132,-0.15777313247343774,30,0,,30,,,,,829.6265670862002,829.6265670862002,829.6265670862002,0.0,0.0,24888.79701258601,0.0,0.0,0.0,0.0,1.0,0.9525749322475151,0.047425067752484895,5.802244240942682,23523.30920933135,1365.4878032546599,10.472839506172843,24888.79701258601
MAPPO,2,60,-61.40624201132761,-2.0468747337109203,30,0,,60,,,,,1105.829765193666,1105.829765193666,1105.829765193666,0.0,0.0,33174.89295580998,0.0,0.0,0.0,0.0,1.0,0.9068727323483042,0.09312726765169577,3.882450686735509,24828.552105043473,8346.340850766503,11.524496752105858,33174.89295580998
IQL-GNN,1,30,-2.74435608883984,-0.09147853629466134,30,0,0.9968333333333333,30,,,,,854.2473432600195,854.2473432600195,854.2473432600195,0.0,0.0,25627.420297800585,0.0,0.0,0.0,0.0,1.0,0.9632928664151703,0.03670713358482969,6.546965666544106,24543.103001931995,1084.3172958685916,10.599206575540347,25627.420297800585
IQL-GNN,2,60,-8.465962734468098,-0.2821987578156033,30,0,0.9936666666666667,60,,,,,871.7418195445987,871.7418195445987,871.7418195445987,0.0,0.0,26152.25458633796,0.0,0.0,0.0,0.0,1.0,0.9357884020448329,0.06421159795516707,4.939285842080004,24087.801691006218,2064.452895331743,11.281975613975346,26152.25458633796
QMIX-GNN,1,30,-12.669147199806954,-0.4223049066602318,30,0,0.9943,30,,,,,885.9072767268938,885.9072767268938,885.9072767268938,0.0,0.0,26577.218301806814,0.0,0.0,0.0,0.0,1.0,0.945398616327996,0.054601383672003956,6.614196344816362,24748.663108835495,1828.5551929713167,10.898391032835475,26577.218301806814
QMIX-GNN,2,60,-27.07320110348911,-0.9024400367829704,30,0,0.9886,60,,,,,966.7481949675173,966.7481949675173,966.7481949675173,0.0,0.0,29002.44584902552,0.0,0.0,0.0,0.0,1.0,0.9123780074808682,0.08762199251913183,4.245041634204456,24834.762717874302,4167.68313115122,11.235081240847137,29002.44584902552
MAPPO-GNN,1,30,-12.39801638584336,-0.4132672128614453,30,0,,30,,,,,833.1131889794292,833.1131889794292,833.1131889794292,0.0,0.0,24993.395669382877,0.0,0.0,0.0,0.0,1.0,0.9423536678547518,0.05764633214524817,5.940357051473484,22859.426618396774,2133.969050986104,10.176328803078029,24993.395669382877
MAPPO-GNN,2,60,-12.76302739267461,-0.425434246422487,30,0,,60,,,,,900.1055437527726,900.1055437527726,900.1055437527726,0.0,0.0,27003.16631258318,0.0,0.0,0.0,0.0,1.0,0.9248201834144755,0.07517981658552453,4.797310588146631,24230.725723872863,2772.440588710318,11.626813453270449,27003.16631258318
