algorithm,cost_scope,transport_weight,avg_inventory_cost_per_step,avg_routing_cost_per_step,avg_weighted_total_cost_per_step,avg_cost_per_step,avg_fill_rate,avg_stockout_rate,avg_bullwhip_cv,avg_transport_per_step,avg_route_distance_per_step,routing_feasible_rate,runtime_sec
BaseStock,inventory_only,0.0,1016.2333333333333,0.0,1016.2333333333333,1016.2333333333333,0.7220867458258279,0.2779132541741721,7.719212649409438,0.0,0.0,1.0,0.012611627578735352
"(s,S)",inventory_only,0.0,1133.5333333333333,0.0,1133.5333333333333,1133.5333333333333,0.7048250860570087,0.29517491394299133,8.962546189994315,0.0,0.0,1.0,0.012100934982299805
BaseStock+Savings,inventory_plus_routing,1.0,1016.2333333333333,53.23105625617661,1069.46438958951,1069.46438958951,0.7220867458258279,0.2779132541741721,7.719212649409438,53.23105625617661,53.23105625617661,1.0,0.013189554214477539
"(s,S)+Savings",inventory_plus_routing,1.0,1133.5333333333333,44.73358208868638,1178.2669154220198,1178.2669154220198,0.7048250860570087,0.29517491394299133,8.962546189994315,44.73358208868638,44.73358208868638,1.0,0.01251530647277832
BaseStock+Savings2Opt,inventory_plus_routing,1.0,1016.2333333333333,53.23105625617661,1069.46438958951,1069.46438958951,0.7220867458258279,0.2779132541741721,7.719212649409438,53.23105625617661,53.23105625617661,1.0,0.013182640075683594
"(s,S)+Savings2Opt",inventory_plus_routing,1.0,1133.5333333333333,44.73358208868638,1178.2669154220198,1178.2669154220198,0.7048250860570087,0.29517491394299133,8.962546189994315,44.73358208868638,44.73358208868638,1.0,0.012125253677368164
BaseStock+NearestInsertion,inventory_plus_routing,1.0,1016.2333333333333,53.23105625617661,1069.46438958951,1069.46438958951,0.7220867458258279,0.2779132541741721,7.719212649409438,53.23105625617661,53.23105625617661,1.0,0.012642860412597656
"(s,S)+NearestInsertion",inventory_plus_routing,1.0,1133.5333333333333,44.73358208868638,1178.2669154220198,1178.2669154220198,0.7048250860570087,0.29517491394299133,8.962546189994315,44.73358208868638,44.73358208868638,1.0,0.014228582382202148
BaseStock+GARouting,inventory_plus_routing,1.0,1016.2333333333333,53.23105625617661,1069.46438958951,1069.46438958951,0.7220867458258279,0.2779132541741721,7.719212649409438,53.23105625617661,53.23105625617661,1.0,2.0878162384033203
"(s,S)+GARouting",inventory_plus_routing,1.0,1133.5333333333333,44.73358208868638,1178.2669154220198,1178.2669154220198,0.7048250860570087,0.29517491394299133,8.962546189994315,44.73358208868638,44.73358208868638,1.0,1.7395415306091309
GAInventory+Savings,inventory_plus_routing,1.0,775.0333333333333,106.51719527179192,881.5505286051252,881.5505286051252,0.9655567009673116,0.03444329903268839,4.646054027167342,106.51719527179192,106.51719527179192,1.0,0.046184539794921875
GAInventory+Savings2Opt,inventory_plus_routing,1.0,775.0333333333333,106.51719527179192,881.5505286051252,881.5505286051252,0.9655567009673116,0.03444329903268839,4.646054027167342,106.51719527179192,106.51719527179192,1.0,0.03957200050354004
ALNSInventory+Savings,inventory_plus_routing,1.0,834.6,113.21984548197828,947.8198454819782,947.8198454819782,0.9677565131933896,0.03224348680661038,3.1658787174554774,113.21984548197828,113.21984548197828,1.0,0.039422035217285156
ALNSInventory+Savings2Opt,inventory_plus_routing,1.0,834.6,113.21984548197828,947.8198454819782,947.8198454819782,0.9677565131933896,0.03224348680661038,3.1658787174554774,113.21984548197828,113.21984548197828,1.0,0.03886556625366211
ALNS-IRP,inventory_plus_routing,1.0,711.7,102.37104620939486,814.0710462093949,814.0710462093949,0.9446826198927275,0.055317380107272496,2.8448254431472844,102.37104620939486,102.37104620939486,1.0,0.08557009696960449
IQL,inventory_only,0.0,903.1577255694475,0.0,903.1577255694475,903.1577255694475,0.8901224435450886,0.10987755645491137,0.6661819024424823,0.0,0.0,1.0,0.1927645206451416
QMIX,inventory_only,0.0,1243.5666246280962,0.0,1243.5666246280962,1243.5666246280962,0.9364064942975303,0.06359350570246969,0.4416947515979147,0.0,0.0,1.0,0.25719332695007324
MAPPO,inventory_only,0.0,963.3568421052504,0.0,963.3568421052504,963.3568421052504,0.8944215044669256,0.10557849553307441,0.0,0.0,0.0,1.0,0.7572469711303711
IQL-GNN,inventory_only,0.0,1173.7928713458366,0.0,1173.7928713458366,1173.7928713458366,0.8840267414658529,0.11597325853414708,2.441579888772295,0.0,0.0,1.0,0.33489990234375
QMIX-GNN,inventory_only,0.0,1134.3776993511867,0.0,1134.3776993511867,1134.3776993511867,0.8833243041823677,0.11667569581763226,1.0050065671031816,0.0,0.0,1.0,0.3889131546020508
MAPPO-GNN,inventory_only,0.0,1813.0913476501707,0.0,1813.0913476501707,1813.0913476501707,0.8505691355425921,0.14943086445740794,0.7740792115120824,0.0,0.0,1.0,0.8640084266662598
