algorithm,episode,global_step,episode_reward_sum,episode_reward_mean_per_step,episode_length,update_count,epsilon,buffer_size,loss,policy_loss,value_loss,entropy,avg_cost_per_step,avg_weighted_total_cost_per_step,avg_inventory_cost_per_step,avg_routing_cost_per_step,transport_weight,total_inventory_cost,total_transport,routing_cost,avg_transport_per_step,avg_route_distance_per_step,routing_feasible_rate,avg_fill_rate,avg_stockout_rate,avg_bullwhip_cv,total_holding,total_backlog,avg_pipeline,weighted_total_cost
IQL,1,30,-33.5869149190277,-1.1195638306342566,30,0,0.9968333333333333,30,,,,,966.164126826243,966.164126826243,966.164126826243,0.0,0.0,28984.92380478729,0.0,0.0,0.0,0.0,1.0,0.9236686476496476,0.07633135235035238,6.016392289955827,24494.913174103247,4490.010630684043,10.458900357596434,28984.92380478729
IQL,2,60,-18.569578897606146,-0.6189859632535382,30,0,0.9936666666666667,60,,,,,992.5207880639123,992.5207880639123,992.5207880639123,0.0,0.0,29775.62364191737,0.0,0.0,0.0,0.0,1.0,0.9458918384805759,0.0541081615194241,4.210028087735058,26511.291317385778,3264.332324531592,12.20383432531213,29775.62364191737
QMIX,1,30,-5.953999457332466,-0.19846664857774884,30,0,0.9943,30,,,,,876.8894406270491,876.8894406270491,876.8894406270491,0.0,0.0,26306.683218811475,0.0,0.0,0.0,0.0,1.0,0.9450895143521832,0.054910485647816754,6.350588696205135,24420.372885048568,1886.3103337629072,11.724431885900982,26306.683218811475
QMIX,2,60,-47.82307724787546,-1.594102574929182,30,0,0.9886,60,,,,,970.9279020822134,970.9279020822134,970.9279020822134,0.0,0.0,29127.837062466402,0.0,0.0,0.0,0.0,1.0,0.8997190213237618,0.1002809786762382,4.268597205141301,22714.480300337076,6413.356762129328,10.33085371465188,29127.837062466402
MAPPO,1,30,-43.305762042817435,-1.4435254014272478,30,0,,30,,,,,996.075527030439,996.075527030439,996.075527030439,0.0,0.0,29882.26581091317,0.0,0.0,0.0,0.0,1.0,0.8990232785509329,0.10097672144906711,6.182307723006468,24172.084999844774,5710.180811068395,10.547409895898136,29882.26581091317
MAPPO,2,60,-11.003511223492644,-0.3667837074497548,30,0,,60,,,,,865.6162625041421,865.6162625041421,865.6162625041421,0.0,0.0,25968.487875124265,0.0,0.0,0.0,0.0,1.0,0.9323270936549709,0.0676729063450291,4.584637452634814,23786.45204796422,2182.0358271600458,10.80048744946658,25968.487875124265
IQL-GNN,1,30,-9.964238122022458,-0.33214127073408195,30,0,0.9968333333333333,30,,,,,866.5657811115809,866.5657811115809,866.5657811115809,0.0,0.0,25996.973433347426,0.0,0.0,0.0,0.0,1.0,0.9513789979321997,0.04862100206780029,5.596118593536563,24068.599979842103,1928.3734535053213,10.75965717087271,25996.973433347426
IQL-GNN,2,60,-2.7378181964903754,-0.09126060654967919,30,0,0.9936666666666667,60,,,,,811.2916262813462,811.2916262813462,811.2916262813462,0.0,0.0,24338.748788440385,0.0,0.0,0.0,0.0,1.0,0.9433691875557338,0.056630812444266154,4.217335829559388,22966.29374852016,1372.4550399202278,10.808577071303318,24338.748788440385
QMIX-GNN,1,30,-19.02235316888747,-0.6340784389629157,30,0,0.9943,30,,,,,948.1258752669843,948.1258752669843,948.1258752669843,0.0,0.0,28443.77625800953,0.0,0.0,0.0,0.0,1.0,0.9321915245286764,0.06780847547132363,6.055750108505006,26308.84503210823,2134.9312259012986,10.682810044893378,28443.77625800953
QMIX-GNN,2,60,-11.186639567483756,-0.37288798558279185,30,0,0.9886,60,,,,,851.0748950219786,851.0748950219786,851.0748950219786,0.0,0.0,25532.246850659358,0.0,0.0,0.0,0.0,1.0,0.9193379736628037,0.08066202633719632,4.286782307229972,23287.367299949987,2244.8795507093714,11.016752459669366,25532.246850659358
MAPPO-GNN,1,30,-3.9278101755587245,-0.1309270058519575,30,0,,30,,,,,894.6214039274499,894.6214039274499,894.6214039274499,0.0,0.0,26838.6421178235,0.0,0.0,0.0,0.0,1.0,0.9514245352198415,0.048575464780158506,6.454269356147703,25614.49840607044,1224.1437117530595,11.35520475720728,26838.6421178235
MAPPO-GNN,2,60,-17.165995921131064,-0.5721998640377021,30,0,,60,,,,,819.8426711854792,819.8426711854792,819.8426711854792,0.0,0.0,24595.280135564375,0.0,0.0,0.0,0.0,1.0,0.9026001271271218,0.09739987287287821,4.589021233918803,21777.662478984115,2817.6176565802602,9.680708797375463,24595.280135564375
