algorithm,cost_scope,transport_weight,avg_inventory_cost_per_step,avg_routing_cost_per_step,avg_weighted_total_cost_per_step,avg_cost_per_step,avg_fill_rate,avg_stockout_rate,avg_bullwhip_cv,avg_transport_per_step,avg_route_distance_per_step,routing_feasible_rate,runtime_sec
BaseStock,inventory_only,0.0,1016.2333333333333,0.0,1016.2333333333333,1016.2333333333333,0.7220867458258279,0.2779132541741721,7.719212649409438,0.0,0.0,1.0,0.011600732803344727
"(s,S)",inventory_only,0.0,1133.5333333333333,0.0,1133.5333333333333,1133.5333333333333,0.7048250860570087,0.29517491394299133,8.962546189994315,0.0,0.0,1.0,0.010224580764770508
BaseStock+Savings,inventory_plus_routing,1.0,1016.2333333333333,53.23105625617661,1069.46438958951,1069.46438958951,0.7220867458258279,0.2779132541741721,7.719212649409438,53.23105625617661,53.23105625617661,1.0,0.012072086334228516
"(s,S)+Savings",inventory_plus_routing,1.0,1133.5333333333333,44.73358208868638,1178.2669154220198,1178.2669154220198,0.7048250860570087,0.29517491394299133,8.962546189994315,44.73358208868638,44.73358208868638,1.0,0.014654874801635742
BaseStock+Savings2Opt,inventory_plus_routing,1.0,1016.2333333333333,53.23105625617661,1069.46438958951,1069.46438958951,0.7220867458258279,0.2779132541741721,7.719212649409438,53.23105625617661,53.23105625617661,1.0,0.01422882080078125
"(s,S)+Savings2Opt",inventory_plus_routing,1.0,1133.5333333333333,44.73358208868638,1178.2669154220198,1178.2669154220198,0.7048250860570087,0.29517491394299133,8.962546189994315,44.73358208868638,44.73358208868638,1.0,0.013063907623291016
BaseStock+NearestInsertion,inventory_plus_routing,1.0,1016.2333333333333,53.23105625617661,1069.46438958951,1069.46438958951,0.7220867458258279,0.2779132541741721,7.719212649409438,53.23105625617661,53.23105625617661,1.0,0.016204357147216797
"(s,S)+NearestInsertion",inventory_plus_routing,1.0,1133.5333333333333,44.73358208868638,1178.2669154220198,1178.2669154220198,0.7048250860570087,0.29517491394299133,8.962546189994315,44.73358208868638,44.73358208868638,1.0,0.01470327377319336
BaseStock+GARouting,inventory_plus_routing,1.0,1016.2333333333333,53.23105625617661,1069.46438958951,1069.46438958951,0.7220867458258279,0.2779132541741721,7.719212649409438,53.23105625617661,53.23105625617661,1.0,2.1368377208709717
"(s,S)+GARouting",inventory_plus_routing,1.0,1133.5333333333333,44.73358208868638,1178.2669154220198,1178.2669154220198,0.7048250860570087,0.29517491394299133,8.962546189994315,44.73358208868638,44.73358208868638,1.0,1.6473925113677979
GAInventory+Savings,inventory_plus_routing,1.0,775.0333333333333,106.51719527179192,881.5505286051252,881.5505286051252,0.9655567009673116,0.03444329903268839,4.646054027167342,106.51719527179192,106.51719527179192,1.0,0.04195809364318848
GAInventory+Savings2Opt,inventory_plus_routing,1.0,775.0333333333333,106.51719527179192,881.5505286051252,881.5505286051252,0.9655567009673116,0.03444329903268839,4.646054027167342,106.51719527179192,106.51719527179192,1.0,0.04030632972717285
ALNSInventory+Savings,inventory_plus_routing,1.0,834.6,113.21984548197828,947.8198454819782,947.8198454819782,0.9677565131933896,0.03224348680661038,3.1658787174554774,113.21984548197828,113.21984548197828,1.0,0.04328441619873047
ALNSInventory+Savings2Opt,inventory_plus_routing,1.0,834.6,113.21984548197828,947.8198454819782,947.8198454819782,0.9677565131933896,0.03224348680661038,3.1658787174554774,113.21984548197828,113.21984548197828,1.0,0.0416417121887207
ALNS-IRP,inventory_plus_routing,1.0,711.7,102.37104620939486,814.0710462093949,814.0710462093949,0.9446826198927275,0.055317380107272496,2.8448254431472844,102.37104620939486,102.37104620939486,1.0,0.076202392578125
IQL,inventory_only,0.0,2025.8872097697072,0.0,2025.8872097697072,2025.8872097697072,0.8676377898469998,0.1323622101530002,0.0,0.0,0.0,1.0,0.22529244422912598
QMIX,inventory_only,0.0,1996.425,0.0,1996.425,1996.425,0.8254319059896177,0.1745680940103823,0.05254506851847555,0.0,0.0,1.0,0.18075990676879883
MAPPO,inventory_only,0.0,941.6478562091506,0.0,941.6478562091506,941.6478562091506,1.0,0.0,2.8483373884833743,0.0,0.0,1.0,0.7119264602661133
IQL-GNN,inventory_only,0.0,845.1217555409331,0.0,845.1217555409331,845.1217555409331,0.8167356351838541,0.18326436481614594,0.31706864488162656,0.0,0.0,1.0,0.35457444190979004
QMIX-GNN,inventory_only,0.0,943.7870158467499,0.0,943.7870158467499,943.7870158467499,0.942741321085866,0.057258678914134054,4.4066210192472735,0.0,0.0,1.0,0.3812682628631592
MAPPO-GNN,inventory_only,0.0,1164.9786105360015,0.0,1164.9786105360015,1164.9786105360015,0.729490005528453,0.270509994471547,1.0316645088516723,0.0,0.0,1.0,0.8145942687988281
