algorithm,episode,rl_mean_action,rl_std_action,rl_zero_action_rate,rl_max_action_rate,rl_invalid_action_count,exec_mean_action,exec_std_action,exec_zero_action_rate,exec_max_action_rate,exec_invalid_action_count,rl_per_node_mean_action,rl_per_node_std_action,rl_per_layer_mean_action,exec_per_node_mean_action,exec_per_node_std_action,exec_per_layer_mean_action
IQL,1,21.637037037037036,13.538207883702038,0.023076923076923078,0.028205128205128206,0,21.637037037037036,13.538207883702038,0.023076923076923078,0.028205128205128206,0,13.3333;16.9333;29.3667;30.2667;12.9667;15.0333;29.3;32.4667;15.0667,8.83679;8.18915;14.5773;12.9459;9.66948;8.19139;12.7283;13.4207;7.63734,15.1333;24.2;22.9667,13.3333;16.9333;29.3667;30.2667;12.9667;15.0333;29.3;32.4667;15.0667,8.83679;8.18915;14.5773;12.9459;9.66948;8.19139;12.7283;13.4207;7.63734,15.1333;24.2;22.9667
IQL,2,20.977777777777778,13.185832277088398,0.038461538461538464,0.03333333333333333,0,20.977777777777778,13.185832277088398,0.038461538461538464,0.03333333333333333,0,16.6667;12.6;28.5;30.0667;13.6;12.8;27.7333;32;14.8333,7.91342;9.49947;11.0235;13.9043;9.09799;9.72762;12.8087;11.3871;8.47382,14.6333;24.0556;21.8417,16.6667;12.6;28.5;30.0667;13.6;12.8;27.7333;32;14.8333,7.91342;9.49947;11.0235;13.9043;9.09799;9.72762;12.8087;11.3871;8.47382,14.6333;24.0556;21.8417
QMIX,1,21.61111111111111,13.329744887484987,0.02564102564102564,0.035897435897435895,0,21.61111111111111,13.329744887484987,0.02564102564102564,0.035897435897435895,0,15.9;10.3;31.6333;28.4667;14.8;13.7;33.5333;29.7667;16.4,8.75348;7.61205;12.6793;12.1126;9.09725;9.19837;10.8466;11.6553;9.13455,13.1;24.9667;23.35,15.9;10.3;31.6333;28.4667;14.8;13.7;33.5333;29.7667;16.4,8.75348;7.61205;12.6793;12.1126;9.09725;9.19837;10.8466;11.6553;9.13455,13.1;24.9667;23.35
QMIX,2,21.59259259259259,13.403314292338457,0.038461538461538464,0.038461538461538464,0,21.59259259259259,13.403314292338457,0.038461538461538464,0.038461538461538464,0,15;15.2667;29.2;32.4;12.0667;13.5667;31.4667;29.7;15.6667,9.07377;8.90668;10.3647;12.6875;7.3979;9.62526;11.7437;14.817;8.38385,15.1333;24.5556;22.6,15;15.2667;29.2;32.4;12.0667;13.5667;31.4667;29.7;15.6667,9.07377;8.90668;10.3647;12.6875;7.3979;9.62526;11.7437;14.817;8.38385,15.1333;24.5556;22.6
MAPPO,1,21.9,13.622462386862424,0.03076923076923077,0.038461538461538464,0,21.9,13.622462386862424,0.03076923076923077,0.038461538461538464,0,14.2;14.5667;26.6;34.9;15.2;15.4333;32.9333;28.5;14.7667,9.60694;6.68672;12.1342;13.5385;9.48472;7.99451;13.3964;13.6961;8.63977,14.3833;25.5667;22.9083,14.2;14.5667;26.6;34.9;15.2;15.4333;32.9333;28.5;14.7667,9.60694;6.68672;12.1342;13.5385;9.48472;7.99451;13.3964;13.6961;8.63977,14.3833;25.5667;22.9083
MAPPO,2,21.788888888888888,12.337081512534217,0.023076923076923078,0.038461538461538464,0,21.788888888888888,12.337081512534217,0.023076923076923078,0.038461538461538464,0,12.5;16.8667;30.6667;31.7667;12.9;16.9333;29.8;28.4333;16.2333,7.56197;9.57334;9.76843;11.6724;7.21272;9.08087;11.1786;11.4213;8.2933,14.6833;25.1111;22.85,12.5;16.8667;30.6667;31.7667;12.9;16.9333;29.8;28.4333;16.2333,7.56197;9.57334;9.76843;11.6724;7.21272;9.08087;11.1786;11.4213;8.2933,14.6833;25.1111;22.85
IQL-GNN,1,21.79259259259259,13.084679362491249,0.02564102564102564,0.03333333333333333,0,21.79259259259259,13.084679362491249,0.02564102564102564,0.03333333333333333,0,14.1333;16.2667;29.7;29.2667;14;13.0333;28.6667;35.3667;15.7,9.57682;9.32357;12.3913;10.0364;7.66812;8.71582;12.7523;10.3874;9.43451,15.2;24.3222;23.1917,14.1333;16.2667;29.7;29.2667;14;13.0333;28.6667;35.3667;15.7,9.57682;9.32357;12.3913;10.0364;7.66812;8.71582;12.7523;10.3874;9.43451,15.2;24.3222;23.1917
IQL-GNN,2,22.248148148148147,13.200781973761739,0.03076923076923077,0.05641025641025641,0,22.248148148148147,13.200781973761739,0.03076923076923077,0.05641025641025641,0,15.1;16.5333;31.7333;31.4667;12.4;17.6333;33.4;26.1;15.8667,7.41328;9.09847;11.8545;14.9905;7.1861;8.47146;12.0239;12.6078;9.0286,15.8167;25.2;23.25,15.1;16.5333;31.7333;31.4667;12.4;17.6333;33.4;26.1;15.8667,7.41328;9.09847;11.8545;14.9905;7.1861;8.47146;12.0239;12.6078;9.0286,15.8167;25.2;23.25
QMIX-GNN,1,22.72962962962963,13.303196909426468,0.035897435897435895,0.03076923076923077,0,22.72962962962963,13.303196909426468,0.035897435897435895,0.03076923076923077,0,14.8;15.5333;31.1;31.1;17.7333;15.8;33.2333;30.7667;14.5,8.52604;8.76635;12.5336;13.1081;7.28438;10.5717;10.8955;13.8484;8.28151,15.1667;26.6444;23.575,14.8;15.5333;31.1;31.1;17.7333;15.8;33.2333;30.7667;14.5,8.52604;8.76635;12.5336;13.1081;7.28438;10.5717;10.8955;13.8484;8.28151,15.1667;26.6444;23.575
QMIX-GNN,2,21.655555555555555,12.933299923591823,0.038461538461538464,0.023076923076923078,0,21.655555555555555,12.933299923591823,0.038461538461538464,0.023076923076923078,0,16.1667;15.1;34.6667;27.0333;15.7333;14;27.5333;30.9333;13.7333,8.91472;10.2383;12.139;13.819;6.02735;8.27043;13.0044;10.0331;7.74138,15.6333;25.8111;21.55,16.1667;15.1;34.6667;27.0333;15.7333;14;27.5333;30.9333;13.7333,8.91472;10.2383;12.139;13.819;6.02735;8.27043;13.0044;10.0331;7.74138,15.6333;25.8111;21.55
MAPPO-GNN,1,21.72962962962963,13.429826253386867,0.028205128205128206,0.041025641025641026,0,21.72962962962963,13.429826253386867,0.028205128205128206,0.041025641025641026,0,14.6;16.7667;31.3667;31.9333;13.7333;15.4333;28.1333;29.9;13.7,10.5217;8.57393;11.9177;11.9022;8.59431;8.57781;14.6532;13.2246;8.3672,15.6833;25.6778;21.7917,14.6;16.7667;31.3667;31.9333;13.7333;15.4333;28.1333;29.9;13.7,10.5217;8.57393;11.9177;11.9022;8.59431;8.57781;14.6532;13.2246;8.3672,15.6833;25.6778;21.7917
MAPPO-GNN,2,22.57037037037037,13.105577405138815,0.03076923076923077,0.05128205128205128,0,22.57037037037037,13.105577405138815,0.03076923076923077,0.05128205128205128,0,14.6333;15.6667;33.3;30.2667;16.5333;15.4333;32.4667;29.5333;15.3,9.13777;8.95669;13.6288;12.1132;8.64767;8.85319;9.04704;11.2479;10.7893,15.15;26.7;23.1833,14.6333;15.6667;33.3;30.2667;16.5333;15.4333;32.4667;29.5333;15.3,9.13777;8.95669;13.6288;12.1132;8.64767;8.85319;9.04704;11.2479;10.7893,15.15;26.7;23.1833
