algorithm,episode,global_step,episode_reward_sum,episode_reward_mean_per_step,episode_length,update_count,epsilon,buffer_size,loss,policy_loss,value_loss,entropy,avg_cost_per_step,total_inventory_cost,total_transport,avg_transport_per_step,avg_route_distance_per_step,routing_feasible_rate,avg_fill_rate,avg_stockout_rate,avg_bullwhip_cv,total_holding,total_backlog,avg_pipeline
IQL,1,30,-60.338492753623186,-2.0112830917874396,30,0,0.9968333333333333,30,,,,,1112.9942028985508,33389.82608695653,0.0,0.0,0.0,1.0,0.9022190011515693,0.09778099884843072,4.0447819778818985,26019.971014492756,7369.855072463768,11.353703703703705
IQL,2,60,-116.97271467347973,-3.899090489115991,30,0,0.9936666666666667,60,,,,,1321.267684403396,39638.03053210188,0.0,0.0,0.0,1.0,0.845208773361669,0.154791226638331,3.820320502406715,25552.399292271402,14085.63123983048,10.94747474747475
QMIX,1,30,-93.74737143467539,-3.124912381155846,30,0,0.9943,30,,,,,1200.5514439340513,36016.54331802154,0.0,0.0,0.0,1.0,0.8460479199920043,0.15395208000799565,4.344412620736321,25164.878431791476,10851.664886230064,9.892087542087543
QMIX,2,60,-79.45405538235833,-2.6484685127452776,30,0,0.9886,60,,,,,1193.5718330378793,35807.154991136376,0.0,0.0,0.0,1.0,0.8874635224026102,0.11253647759738983,4.284695209304259,26327.244085824317,9479.910905312061,11.30654761904762
MAPPO,1,30,-62.74150619136961,-2.09138353971232,30,0,,30,,,,,1135.5221638524076,34065.664915572226,0.0,0.0,0.0,1.0,0.8806885059962568,0.11931149400374319,4.613973845107411,26866.777485928702,7198.887429643528,11.035185185185188
MAPPO,2,60,-70.23149166858539,-2.3410497222861797,30,0,,60,,,,,1099.7815153933254,32993.44546179976,0.0,0.0,0.0,1.0,0.8591085933333785,0.14089140666662148,3.3435981554332215,23647.679075738124,9345.766386061638,11.323336973336975
IQL-GNN,1,30,-62.87002619429947,-2.095667539809982,30,0,0.9968333333333333,30,,,,,1141.6460456711764,34249.38137013529,0.0,0.0,0.0,1.0,0.8781401843898806,0.12185981561011938,4.735995452017907,27023.464785465443,7225.916584669845,11.356277518777517
IQL-GNN,2,60,-46.93594181994976,-1.5645313939983254,30,0,0.9936666666666667,60,,,,,1078.9290684169298,32367.872052507897,0.0,0.0,0.0,1.0,0.9040107207761454,0.09598927922385458,3.7445955230367693,26572.383437322744,5795.488615185155,11.542592592592595
QMIX-GNN,1,30,-62.20710279901418,-2.073570093300473,30,0,0.9943,30,,,,,1131.2383332280274,33937.149996840824,0.0,0.0,0.0,1.0,0.8583792080167436,0.1416207919832564,5.2500904810747935,27205.834523282992,6731.315473557835,11.238737717309148
QMIX-GNN,2,60,-75.47761813324453,-2.5159206044414844,30,0,0.9886,60,,,,,1176.1176511823558,35283.529535470676,0.0,0.0,0.0,1.0,0.8716561385564221,0.1283438614435779,3.0262169985300753,26487.544980517,8795.984554953677,11.510064893106097
MAPPO-GNN,1,30,-82.08395385052572,-2.7361317950175237,30,0,,30,,,,,1230.6603087998485,36919.809263995456,0.0,0.0,0.0,1.0,0.8445778596589576,0.1554221403410424,5.29289179624511,27669.808127308894,9250.00113668656,11.668692810457516
MAPPO-GNN,2,60,-64.11206818181817,-2.1370689393939393,30,0,,60,,,,,1089.0268939393939,32670.806818181816,0.0,0.0,0.0,1.0,0.873044206847684,0.12695579315231598,3.661929889339553,24916.488636363636,7754.318181818181,11.325925925925928
