algorithm,avg_cost_per_step,avg_fill_rate,avg_stockout_rate,avg_bullwhip_cv,avg_transport_per_step,avg_route_distance_per_step,routing_feasible_rate,runtime_sec
BaseStock,1016.2333333333333,0.7220867458258279,0.2779132541741721,7.719212649409438,0.0,0.0,1.0,0.015142202377319336
"(s,S)",1133.5333333333333,0.7048250860570087,0.29517491394299133,8.962546189994315,0.0,0.0,1.0,0.012239694595336914
BaseStock+Savings,1069.46438958951,0.7220867458258279,0.2779132541741721,7.719212649409438,53.23105625617661,53.23105625617661,1.0,0.013843774795532227
"(s,S)+Savings",1178.2669154220198,0.7048250860570087,0.29517491394299133,8.962546189994315,44.73358208868638,44.73358208868638,1.0,0.013115167617797852
BaseStock+Savings2Opt,1069.46438958951,0.7220867458258279,0.2779132541741721,7.719212649409438,53.23105625617661,53.23105625617661,1.0,0.017338991165161133
"(s,S)+Savings2Opt",1178.2669154220198,0.7048250860570087,0.29517491394299133,8.962546189994315,44.73358208868638,44.73358208868638,1.0,0.01311945915222168
BaseStock+NearestInsertion,1069.46438958951,0.7220867458258279,0.2779132541741721,7.719212649409438,53.23105625617661,53.23105625617661,1.0,0.015594244003295898
"(s,S)+NearestInsertion",1178.2669154220198,0.7048250860570087,0.29517491394299133,8.962546189994315,44.73358208868638,44.73358208868638,1.0,0.012961864471435547
BaseStock+GARouting,1069.46438958951,0.7220867458258279,0.2779132541741721,7.719212649409438,53.23105625617661,53.23105625617661,1.0,2.1020009517669678
"(s,S)+GARouting",1178.2669154220198,0.7048250860570087,0.29517491394299133,8.962546189994315,44.73358208868638,44.73358208868638,1.0,1.6051313877105713
GAInventory+Savings,881.5505286051252,0.9655567009673116,0.03444329903268839,4.646054027167342,106.51719527179192,106.51719527179192,1.0,0.04853034019470215
GAInventory+Savings2Opt,881.5505286051252,0.9655567009673116,0.03444329903268839,4.646054027167342,106.51719527179192,106.51719527179192,1.0,0.041584014892578125
ALNSInventory+Savings,947.8198454819782,0.9677565131933896,0.03224348680661038,3.1658787174554774,113.21984548197828,113.21984548197828,1.0,0.0790715217590332
ALNSInventory+Savings2Opt,947.8198454819782,0.9677565131933896,0.03224348680661038,3.1658787174554774,113.21984548197828,113.21984548197828,1.0,0.03154873847961426
ALNS-IRP,814.0710462093949,0.9446826198927275,0.055317380107272496,2.8448254431472844,102.37104620939486,102.37104620939486,1.0,0.06064915657043457
IQL,1656.1463276836148,0.8851258048852506,0.11487419511474939,0.5561200938054262,0.0,0.0,1.0,0.5889267921447754
QMIX,1321.1516129032257,0.856402481043999,0.14359751895600104,1.2794128563029084,0.0,0.0,1.0,0.37602996826171875
MAPPO,1263.5333333333333,0.8654251337953113,0.13457486620468873,0.23208924918122437,0.0,0.0,1.0,2.1263859272003174
IQL-GNN,1190.3970223325064,0.879548552206044,0.120451447793956,1.8440980856767082,0.0,0.0,1.0,0.6192395687103271
QMIX-GNN,1261.0666666666666,0.8817045272429039,0.11829547275709607,1.9357018101628485,0.0,0.0,1.0,0.5170621871948242
MAPPO-GNN,944.8666666666667,0.9645616359481938,0.035438364051806226,1.121209067796967,0.0,0.0,1.0,2.0333056449890137
