algorithm,cost_scope,transport_weight,avg_inventory_cost_per_step,avg_routing_cost_per_step,avg_weighted_total_cost_per_step,avg_cost_per_step,avg_fill_rate,avg_stockout_rate,avg_bullwhip_cv,avg_transport_per_step,avg_route_distance_per_step,routing_feasible_rate,runtime_sec
BaseStock,inventory_only,0.0,483.8333333333333,0.0,483.8333333333333,483.8333333333333,0.49116751327196206,0.5088324867280379,3.88634036962521,0.0,0.0,1.0,0.005124092102050781
"(s,S)",inventory_only,0.0,517.1666666666666,0.0,517.1666666666666,517.1666666666666,0.4677595635219171,0.5322404364780828,4.470445413828214,0.0,0.0,1.0,0.00706028938293457
BaseStock+Savings,inventory_plus_routing,0.25,483.8333333333333,5.193931185346211,489.02726451867954,489.02726451867954,0.49116751327196206,0.5088324867280379,3.88634036962521,5.193931185346211,20.775724741384845,1.0,0.008103370666503906
"(s,S)+Savings",inventory_plus_routing,0.25,517.1666666666666,4.4936076826777045,521.6602743493444,521.6602743493444,0.4677595635219171,0.5322404364780828,4.470445413828214,4.4936076826777045,17.974430730710818,1.0,0.007083415985107422
BaseStock+Savings2Opt,inventory_plus_routing,0.25,483.8333333333333,5.193931185346211,489.02726451867954,489.02726451867954,0.49116751327196206,0.5088324867280379,3.88634036962521,5.193931185346211,20.775724741384845,1.0,0.00783681869506836
"(s,S)+Savings2Opt",inventory_plus_routing,0.25,517.1666666666666,4.4936076826777045,521.6602743493444,521.6602743493444,0.4677595635219171,0.5322404364780828,4.470445413828214,4.4936076826777045,17.974430730710818,1.0,0.007294654846191406
BaseStock+NearestInsertion,inventory_plus_routing,0.25,483.8333333333333,5.193931185346211,489.02726451867954,489.02726451867954,0.49116751327196206,0.5088324867280379,3.88634036962521,5.193931185346211,20.775724741384845,1.0,0.00880122184753418
"(s,S)+NearestInsertion",inventory_plus_routing,0.25,517.1666666666666,4.4936076826777045,521.6602743493444,521.6602743493444,0.4677595635219171,0.5322404364780828,4.470445413828214,4.4936076826777045,17.974430730710818,1.0,0.00630640983581543
BaseStock+GARouting,inventory_plus_routing,0.25,483.8333333333333,5.193931185346211,489.02726451867954,489.02726451867954,0.49116751327196206,0.5088324867280379,3.88634036962521,5.193931185346211,20.775724741384845,1.0,0.5996007919311523
"(s,S)+GARouting",inventory_plus_routing,0.25,517.1666666666666,4.4936076826777045,521.6602743493444,521.6602743493444,0.4677595635219171,0.5322404364780828,4.470445413828214,4.4936076826777045,17.974430730710818,1.0,0.5155537128448486
GAInventory+Savings,inventory_plus_routing,0.25,154.86666666666667,12.637230912564975,167.50389757923165,167.50389757923165,0.872111772343671,0.127888227656329,2.9103755926851074,12.637230912564975,50.5489236502599,1.0,0.024288415908813477
GAInventory+Savings2Opt,inventory_plus_routing,0.25,154.86666666666667,12.637230912564975,167.50389757923165,167.50389757923165,0.872111772343671,0.127888227656329,2.9103755926851074,12.637230912564975,50.5489236502599,1.0,0.023299217224121094
ALNSInventory+Savings,inventory_plus_routing,0.25,153.86666666666667,13.832425014166082,167.69909168083274,167.69909168083274,0.8928924573440383,0.10710754265596167,2.630976187243187,13.832425014166082,55.32970005666433,1.0,0.01812458038330078
ALNSInventory+Savings2Opt,inventory_plus_routing,0.25,153.86666666666667,13.832425014166082,167.69909168083274,167.69909168083274,0.8928924573440383,0.10710754265596167,2.630976187243187,13.832425014166082,55.32970005666433,1.0,0.0207061767578125
ALNS-IRP,inventory_plus_routing,0.25,124.06666666666666,12.465434844830906,136.5321015114976,136.5321015114976,0.8760578379351296,0.12394216206487041,2.032190629927519,12.465434844830906,49.86173937932362,1.0,0.04462933540344238
MILP-InventoryOnly,inventory_only_oracle,0.0,106.6,0.0,106.6,106.6,1.0,0.0,1.6325221423572764,0.0,0.0,1.0,0.9704546928405762
