algorithm,avg_cost_per_step,avg_fill_rate,avg_stockout_rate,avg_bullwhip_cv,avg_transport_per_step,avg_route_distance_per_step,routing_feasible_rate,runtime_sec
BaseStock,483.8333333333333,0.49116751327196206,0.5088324867280379,3.88634036962521,0.0,0.0,1.0,0.006609916687011719
"(s,S)",517.1666666666666,0.4677595635219171,0.5322404364780828,4.470445413828214,0.0,0.0,1.0,0.007035255432128906
BaseStock+Savings,494.2211957040257,0.49116751327196206,0.5088324867280379,3.88634036962521,10.387862370692423,20.775724741384845,1.0,0.0076024532318115234
"(s,S)+Savings",526.1538820320221,0.4677595635219171,0.5322404364780828,4.470445413828214,8.987215365355409,17.974430730710818,1.0,0.008063554763793945
BaseStock+Savings2Opt,494.2211957040257,0.49116751327196206,0.5088324867280379,3.88634036962521,10.387862370692423,20.775724741384845,1.0,0.0075304508209228516
"(s,S)+Savings2Opt",526.1538820320221,0.4677595635219171,0.5322404364780828,4.470445413828214,8.987215365355409,17.974430730710818,1.0,0.0075571537017822266
BaseStock+NearestInsertion,494.2211957040257,0.49116751327196206,0.5088324867280379,3.88634036962521,10.387862370692423,20.775724741384845,1.0,0.008270740509033203
"(s,S)+NearestInsertion",526.1538820320221,0.4677595635219171,0.5322404364780828,4.470445413828214,8.987215365355409,17.974430730710818,1.0,0.009031295776367188
BaseStock+GARouting,494.2211957040257,0.49116751327196206,0.5088324867280379,3.88634036962521,10.387862370692423,20.775724741384845,1.0,0.6920506954193115
"(s,S)+GARouting",526.1538820320221,0.4677595635219171,0.5322404364780828,4.470445413828214,8.987215365355409,17.974430730710818,1.0,0.599989652633667
GAInventory+Savings,180.14112849179662,0.872111772343671,0.127888227656329,2.9103755926851074,25.27446182512995,50.5489236502599,1.0,0.025712013244628906
GAInventory+Savings2Opt,180.14112849179662,0.872111772343671,0.127888227656329,2.9103755926851074,25.27446182512995,50.5489236502599,1.0,0.02476215362548828
ALNSInventory+Savings,181.53151669499883,0.8928924573440383,0.10710754265596167,2.630976187243187,27.664850028332165,55.32970005666433,1.0,0.021235942840576172
ALNSInventory+Savings2Opt,181.53151669499883,0.8928924573440383,0.10710754265596167,2.630976187243187,27.664850028332165,55.32970005666433,1.0,0.02018880844116211
ALNS-IRP,148.99753635632848,0.8760578379351296,0.12394216206487041,2.032190629927519,24.93086968966181,49.86173937932362,1.0,0.04800128936767578
